City,AQI,Precipitation,GDP,Temperature,Longitude,Latitude,Altitude,PopulationDensity,Coastal,GreenCoverageRate,"Incineration(10,000ton)"
Chuxiong Prefecture,44,900,762.97,14.8,101.52806,25.04553,1777,5574,0,36.15,10.95
Dazhou City,86,1086.1,1353.67,18.75205479,107.5003433,31.22469711,306,974,0,29.57,23.12
Dali City,39,1768.9,901.07,16.4,100.26763,25.60648,2007,3515,0,37.11,21.5
Dalian City,132,601.9,7700,12.40273973,121.6008377,38.91780472,29,2820,1,19.38,122.81
Daqing City,61,427.5,2983.5,6.167123288,125.0248566,46.59545136,149,4667,0,43.7,43.64
Datong City,82,56.1,1060,7.468493151,113.2963333,40.0971489,1044,9492,0,36,23
Dandong City,86,878.5,990.5,10.24520548,124.3814621,40.13518143,5,3237,1,48.39,21.37
Dehong Prefecture,49,1766.9,292.3,18.4,98.58489,24.43335,927,110,0,36,10
Deyang City,89,711,1605.1,18.13561644,104.3915482,31.13044548,491,2950,0,40.12,18.25
Dezhou City,116,547.5,2750,15.0109589,116.2878723,37.45369339,23,1448,0,41.3,30.29
Diqing Prefecture,23,824,161.1,13,99.70225,27.81875,3294,17,0,36,23
Dongguan City,26,2137.9,6275.06,23.84931507,113.7487717,23.0485363,6,2417,0,36.98,390.43
Dongying City,199,684.7,3450,14.82876712,118.4959564,37.46191406,2,617,1,34.61,22.32
Erdos City,61,348.3,4226.13,6.2,109.8,39.62,1311,2624,0,36.04,22.4
Ezhou City,113,1364.1,730,18.29863014,114.8811874,30.40276718,17,1740,0,36.18,17.85
Enshi Prefecture,75,1535,670,16,109.48817,30.2721,490,4942,0,17.12,11.96
Erenhot City,57,136.6,100.73,3.4,111.977942,43.65316,963,1471,0,35.53,7.2
Foshan City,23,2055.2,8003.92,23.77260274,113.1145172,23.03487778,5,2469,0,43.73,93.84
Fuzhou City,37,1775.2,5618.1,21.41232877,119.2978134,26.07859039,10,2322,1,41.09,105.9
Fushun City,67,760,1236,7.48630137,123.9295578,41.84786606,83,2069,0,33.96,38.22
Fuzhou City(Jiangxi),42,1700,1105.14,19.54931507,116.35,28,45,6648,0,39.78,22.34
Fuxin city,141,480,530,9.308219178,121.6488037,42.00795364,146,1741,0,34.24,29.2
Fuyang City(Anhui),44,910,1267.4,17.80958904,115.8097305,32.90220642,33,2290,0,29.26,25.23
Fuyang City(Zhejiang),80,2137.7,643.6,16.0890411,119.96007,30.04869,21,360,0,36,29
Garze Prefecture,17,920,217.57,13.5,101.96231,30.04952,2552,8,0,36,23
Ganzhou City,32,1469,1973.87,20.96712329,114.9336777,25.85288239,109,8047,0,37.14,37.63
Kaohsiung City,68,1738,4095.28,24.2,120.301435,22.62727,9,941,1,44,136.24
Guang'an City,64,1071.2,1005.6,18.29589041,106.63175,30.474428,302,2106,0,39.49,14.34
Guangyuan City,46,892.8,605.43,17.27671233,105.8317032,32.44396973,488,2064,0,37.15,18.66
Guangzhou City,20,2478.1,18100.41,23.60547945,113.2614288,23.11891174,18,5940,1,18.78,455.84
Guiyang City,36,1433.2,2891.16,19.07945205,106.7113724,26.57687378,1277,2163,0,38.57,111.88
Guilin City,61,1901,1942.97,20.24520548,110.2866821,25.28188324,154,1535,0,43.63,38.42
Harbin City,102,423.1,5751.2,5.836986301,126.6433411,45.74149323,118,11366,0,43.7,143.26
Haikou City,22,1674.3,1161.28,26.09041096,110.3465118,20.03179359,15,2916,1,43.36,78.19
Haimen City,45,581,915.2,16.53972603,121.18161,31.87117,5,4900,1,41.23,9.06
Handan City,113,458,3080,15.28356164,114.4729538,36.60151672,55,780,0,32,49
Hangzhou City,103,2137.7,10053.58,17.90547945,120.1592484,30.26599503,19,3527,0,42.62,351.98
Hefei City,99,1224.9,5660.3,17.125,117.2757034,31.86325455,38,3357,0,36.66,122.05
Heyuan City,16,1700,810.08,22.77260274,114.6938171,23.73484039,34,8950,0,30.7,21.34
Heze City,88,831,2400.96,15.62054795,115.4457626,35.24853897,54,1762,0,44.68,40.15
Hebi City,85,534,713.23,14.30684932,114.1546707,35.94008255,89,3602,0,38.69,15.96
Hengshui City,142,547,1139,14.65479452,115.7081909,37.72782135,24,503,0,30,27
Hengyang City,66,142,2601.57,19.37945205,112.5993576,26.90055466,82,8360,0,45.11,43.82
Honghe Prefecture,75,1893,1222,18.1,103.374575,23.36225,1304,137,0,36,23
Hohhot City,49,361.2,3090.52,6,111.6632996,40.82094193,1072,177,0,36,23
Hulunbeier City,42,250,1595.96,0,119.77,49.22,612,10,0,33,22
Huludao City,181,878,720,10.55342466,120.83,40.72,17,883,1,29.84,25.25
Huzhou City,74,1450,2084.3,17.14520548,120.0971298,30.86603928,3,1408,0,42.5,45.77
Hualien County,24,1268,417,23,121.6015714,23.9871589,16,72,1,46,24
Huai'an City,101,878,2745.09,13.6,119.14111,33.502789,13,6461,0,40.14,43.26
Huaibei City,97,910,760.4,16.19726027,116.7874985,33.9704895,32,3883,0,43.94,21.75
Huainan City,73,910,770.6,17.13150685,117.0207291,32.6166954,52,2213,0,38.88,32.1
Huanggang City,106,1550,1589.24,17.80273973,114.87,30.45,49,5996,0,40.16,18.76
Huangshan mountain Scenic Spot,88,440,544.7,8.3,118.1299,30.13242,710,90,0,33,23
Huangshan City,29,1469,544.7,17.73150685,118.3090668,29.72084427,122,833,0,33.91,12.61
Huangshi City,105,2137,1235,18.05616438,115.0749893,30.21379852,21,3698,0,39.65,29.2
Huizhou City,18,1670,3140.03,23.98219178,114.3924026,23.08795738,21,1372,1,40.03,95.29
Keelung City,13,1775,514,21,121.7391833,25.1276033,10,2802,1,41,24
Ji'an City,40,1035,1328.52,18.32191781,114.9704285,27.1062088,53,1898,0,31.9,16.65
Jilin City,71,308,2455.2,7.176712329,126.5668182,43.88667679,202,2559,0,19.45,33.83
Jimo City,61,1670,1110,14.21506849,120.44716,36.389401,22,913,1,44.57,25.02
Jinan City,107,713.7,6130.68,15.58356164,117.0056,36.6670723,148,2504,0,50.82,137.28
Jining City,83,831,4013.12,13.85616438,116.576561,35.40924072,39,1583,0,44.92,49.05
Jiyuan City,140,480,494.41,14.6,112.601918,35.067243,146,6108,0,40.4,18.96
Jiaxing City,97,574,3517.06,17.26986301,120.7536316,30.77111435,4,3742,1,37.83,33.39
Chiayi County,51,1775,578,22.6,120.2554615,23.4518428,2,273,1,46,24
Jiayuguan City,75,267,195,7.2,98.27471161,39.80265427,1656,1826,0,39.5,7.3
Jiangmen City,46,1966,2240.02,23.90136986,113.0847473,22.59119034,6,2032,0,40.42,45.67
Jiangyin City,82,581,2880.86,17.05890411,120.284938,31.920658,9,1865,1,42.98,18.15
Jiaonan City,85,878,981.15,10.94246575,120.18,35.97,6,90,1,44,24
Jiaozhou City,54,1742,981.2,14.39315068,120.006202,36.285877,10,832,1,39.44,18.94
Jiaozuo City,199,689,1943.37,16.51506849,113.2217865,35.24735641,100,5564,0,35.39,27.88
Jieyang city,62,1775,1890.01,21.4,116.34977,23.542976,4,2095,0,40.11,33.49
Jinchang City,108,480,224.5,10.7,102.1657486,38.49519348,1526,3702,0,36.29,9.2
Jinhua City,59,1638,3406.5,18.80410959,119.6522064,29.11081696,43,1720,0,36.06,45.72
Kinmen County,35,1775,152.91,21,118.3285644,24.3487792,-12,914,1,46,22
Jintan City,106,1742,471.48,16.86986301,119.597896,31.723247,7,567,0,32,14
Jinzhou City,202,547,1357.5,12.18630137,121.1333694,41.11112595,23,309,1,44,25
Jincheng City,102,592,1040.2,13.04383562,112.84272,35.50651169,703,244,0,33,17
Jinzhong City,110,440,1046.12,11.93424658,112.75,37.68,811,203,0,33,23
Jingmen City,110,534,1388.46,16.70273973,112.2002106,31.03021622,87,1995,0,32.37,14.86
Jingzhou City,100,1550,1590.5,17.50547945,112.23,30.33,34,9389,0,37.3,23.51
Jingdezhen City,48,1700,772.06,19.07123288,117.1179428,29.19516754,35,2522,0,41.11,14.78
Jiujiang City,47,1550,1902.68,17.92191781,115.984581,29.72321129,41,6055,0,41.22,21.57
Jurong City,65,1200,468.5,16.54109589,119.168695,31.944998,24,1804,0,40.38,7.37
Kaifeng City,65,1450,1604.84,15.99863014,114.3461685,34.7851944,76,5601,0,38.69,31.62
Karamay City,74,267,670.1,8.6,84.86360931,45.59651184,354,5185,0,43.05,16.57
Kunming City,62,1189.5,3970,16.72054795,102.704567,25.04384422,1930,2170,0,40.64,158.76
Kunshan City,55,1615,3080,17.51369863,120.980736,31.385597,7,2893,0,43.75,69.25
Lhasa City,33,377.4,389.46,10.06027397,91.17211,29.652491,3660,1422,0,36.14,23.76
Laiwu City,138,450,755,14.53013699,117.66173,36.205116,197,1003,0,44.94,22.12
Laixi City,118,672,526.02,13.60136986,120.51769,36.889084,70,729,0,41.98,15.51
Laizhou City,106,708,717,14.73150685,119.942275,37.177129,48,1018,1,42.76,22.84
Lanzhou City,75,267,2095.99,12.33972603,103.7500534,36.06803894,1525,7540,0,25.8,98.36
Langfang City,181,1742,2056,13.83287671,116.6898575,39.51511002,18,721,0,36,27
Leshan City,87,1066.8,1301.2,19.2890411,103.7514038,29.56822395,355,1981,0,33.12,18.99
Lijiang City,26,665,290,14.42739726,100.2342529,26.87666512,2384,6538,0,40.63,13.79
Lishui City,32,1229,1102.34,19.87260274,119.9165573,28.44883728,74,1296,0,40.97,16.1
Liyang City,99,1615,738.15,16.99178082,119.48421,31.416911,7,1896,0,43.08,7.18
Lianyungang City,65,878,2160.64,14.17671233,119.1668015,34.60517883,4,1463,1,40.92,36.25
Liangshan Prefecture,31,1433,1314.72,15.3,102.267712,27.88157,1523,75,0,36,23
Liaoyang City,62,601,1025,10.46164384,123.1617432,41.26513672,27,391,0,33,31
Liaocheng City,120,458,2663.62,14.74931507,115.9884262,36.44943237,37,2088,0,38.81,40.74
Nyingchi City,35,617,105,3,94.36149,29.649128,2994,1905,0,36.07,1.53
Lin'an City,86,1224,466.28,17.04520548,119.724733,30.233873,39,1114,0,36.79,12.77
Lincang City,48,1000,502.1,19.20410959,100.0878067,23.8799305,1493,5543,0,39,6.36
Linfen City,76,1535,1161.1,15.19589041,111.5141678,36.08282471,450,215,0,33,14
Linyi City,157,672,3763.2,15.19452055,118.3379593,35.06945038,68,1633,1,44.93,86.2
Liuzhou City,41,1229,2298.62,21.88493151,109.4028091,24.31040573,91,3517,0,42.95,49.83
Lu'an City,70,308,1143.4,13.77260274,116.4927902,31.75352287,75,3600,0,44.5,19.28
Longyan City,19,1469,1738.45,21.83013699,117.0303879,25.10970306,329,2089,0,43.21,23.84
Loudi City,76,142,1291.38,18.14931507,111.9938965,27.74133492,120,7814,0,37.51,14.5
Luzhou City,106,1290.6,1353.4,19.07123288,105.4378433,28.88199425,262,2926,0,39.89,28.64
Luoyang City,110,602.3,3508.75,15.5109589,112.4247971,34.66804123,147,7278,0,32.41,71.39
Luohe City,85,831,992.85,15.70410959,114.0410919,33.57250977,62,5283,0,34.39,22
Lvliang City,64,1071,955.8,11.66575342,111.13,37.52,951,181,0,33,23
Ma’anshan City,89,2137,1365.3,17.05068493,118.4807129,31.72492409,19,4105,0,40.05,22.91
Maoming City,26,1638,2445.6,24.59726027,110.8888474,21.67071724,30,4263,1,24.75,22.12
Meishan City,110,990.2,1029.86,18.92191781,103.83146,30.050497,415,1711,0,35.09,26.17
Meizhou City,12,1229,955.09,22.7739726,116.1079407,24.31450081,87,1191,0,38.93,21.57
Mianyang City,88,717.6,1700.33,18.31232877,104.7485504,31.45634842,473,2673,0,38.7,34.24
Miaoli County,25,1700,623,22,120.8214265,24.560159,60,310,1,46,22
Mudanjiang City,48,361,1186.3,5.952054795,129.5984955,44.58392334,234,68,0,33,29
Nagqu Prefecture,47,262,95.9,-2.5,92.051239,31.476202,4505,1,0,36,23
Nanchang City,61,2207.3,4000.01,19.2109589,115.8999176,28.67599106,16,7536,0,44.09,63.69
Nanchong City,91,1093.8,1516.2,19.20410959,106.0816269,30.79582214,338,2619,0,43.1,36.95
Nanjing City,97,1768.9,9720.77,16.77260274,118.7727814,32.04761505,13,1462,0,38.5,238.68
Nanning City,28,1229.4,3410.09,23.14109589,108.3117676,22.80654335,79,3411,0,36.76,107.44
Nanping City,12,1229,1339.51,21.07671233,118.1691208,26.64484215,87,1769,0,42.73,12.37
Nantong City,55,684,6148.4,16.48767123,120.8555679,32.01506805,2,4082,1,42.97,59.88
Nantou Ccounty,64,1893,590,19,120.9718638,23.9609981,446,124,1,44,22
Nanyang City,111,602,2875.02,16.27671233,112.5375137,32.99901962,130,2506,0,36.08,49.25
Neijiang City,89,1128,1198.58,18.93561644,105.0534363,29.57756805,335,2307,0,35.43,16.43
Ningbo City,51,1651,8011.5,18.1630137,121.5412827,29.87066841,10,2444,1,39.16,111
Nujiang Prefecture,19,617,113.45,11,98.865859,25.777128,791,36,0,36,23
Panzhihua City,41,1053.4,925.18,21.85068493,101.6984177,26.55479813,1156,2102,0,39.8,17.91
Panjin City,119,878,1267.9,10.42465753,122.0476303,41.18847656,5,352,1,29,24
Penglai City,78,581,471.3,13.72191781,120.758848,37.810661,18,1115,1,42.08,7.3
Penghu County,24,1670,136,23.4,119.5793157,23.5711899,21,807,1,41,24
Pingdingshan City,103,689,1705.78,16.09589041,113.3001938,33.74362946,124,3620,0,36.68,30.3
Pingdu City,69,708,779.3,13.92054795,119.98842,36.776357,52,660,1,44.05,36.67
Pingtung County,51,1966,946,25,120.5487597,22.5519759,17,302,1,46,24
Pingxiang city,55,900,912.39,14.45068493,113.841423,27.63298988,96,5258,0,40.04,15.84
Putian City,31,1775,1655.16,21.90273973,119.0103226,25.43813705,15,2570,1,41.87,42.57
Puyang City,77,458,1333.64,14.71643836,115.0149536,35.70189667,55,3384,0,38.4,21.9
Pu'er City,32,477,120.03,20.63561644,100.9752121,22.79548073,1330,58,0,36,7.95
Qiqihar City,52,136,1270,3.2,123.9592667,47.34136963,149,125,0,33,31
Qianjiang Country,90,1200,557,16.1,112.899762,30.402167,32,1333,0,36.61,12.78
Qinhuangdao City,163,878,1250.44,11.19041096,119.5982971,39.92430878,4,412,1,29,25
Qingdao City,65,720,9300.07,14.21369863,120.3581696,36.13386154,6,1723,1,42.9,184.97
Qingyang County,23,617,79.95,16.1,117.80361,30.47926,772,225,0,36,14
Qingyuan City,22,878,1285,20.7,113.0212631,23.71959686,14,1940,0,35,30.65
Quzhou City,45,1035,1146.2,17.3,118.8691788,28.9584446,61,1790,0,41.11,27.23
Qujing City,41,1768,1630.3,16.22876712,103.7947006,25.49616623,1847,8719,0,36.18,19.05
Quanzhou City,18,1775,6137.74,22.26438356,118.5896378,24.91591835,3,2410,1,44.42,51.4
Shigatse City,25,377,168,6.3,88.880583,29.266869,3844,2700,0,76.49,4.13
Rizhao City,129,831,1670.8,14.45205479,119.4515533,35.42756271,37,1674,1,45.74,25.54
Rongcheng City,35,1742,1022.3,13.30684932,122.486657,37.16516,17,771,1,46,15.24
Rushan City,47,601,477.18,13.16986301,121.539764,36.919816,27,1345,1,46.49,6.43
Sanmenxia City,180,1093,1260.55,15.29178082,111.1952591,34.78076935,377,7134,0,36.3,15.86
Sanming City,13,1469,1713.05,21.2260274,117.6012268,26.22301292,204,1011,0,43.13,11.45
Sanya City,21,1268,435.02,27.44794521,109.5078201,18.23404312,7,1946,1,42.9,45.77
Xiamen City,54,1775.2,3466.01,22.39315068,118.0875168,24.45743561,2,9685,1,41.36,161.56
Lhoka Prefecture,35,617,115,7.4,91.773134,29.237137,3572,4,0,36,23
Shantou City,50,1738,1850.01,23.70547945,116.6837997,23.36269188,8,4168,1,58.11,78.76
Shanwei City,59,1775,780,22,115.3640137,22.77868652,8,825,1,35.42,9.13
Shangqiu City,65,831,1803.93,15.05479452,115.6471863,34.44358444,50,9364,0,36.06,28.17
Shanghai Municipality,46,1651.5,24964.99,17.91643836,121.4692688,31.23817635,16,3804,1,34,613.85
Shangrao City,30,1229,1650.81,18.99726027,117.9634018,28.45326614,79,7649,0,46.46,27.76
Shaoguan City,12,1700,1149.98,21.3109589,113.6053925,24.80877686,57,454,0,41.6,21.76
Shaoyang city,77,142,1387,17.90410959,111.4773788,27.25023651,222,9112,0,35.1,17.42
Shaoxing City,104,2127,3366.7,18.11506849,120.5739288,30.01093102,12,2935,0,48.33,82.02
Shenzhen City,37,1966,17502.99,24.4109589,114.110672,22.55639648,1,5697,1,34.56,574.83
Shennongjia Forestry District,50,900,22.5,12,110.680447,31.743483,887,24,0,36,23
Shenyang City,90,573.6,7280,9.183561644,123.4116821,41.7966156,51,640,0,36,31
Shiyan City,69,760,1300,16.49452055,110.7827988,32.65213013,290,1376,0,29.72,38.7
Shijiazhuang City,182,534.5,5440.6,14.8739726,114.4897766,38.04512787,80.5,681,0,36,31
Shizuishan City,85,480,482.4,8.4,106.3820572,39.02428055,1102,4096,0,40.64,21.77
Shouguang City,127,547,806.9,14.84657534,118.790739,36.85576,23,1043,1,44,12.6
Shuozhou City,96,440,910,8.663013699,112.4232712,39.31313324,1087,165,0,33,23
Suzhou City(Jiangsu),73,2055,14504.07,17.46986301,120.6187286,31.31645203,6,1251,0,34,214.33
Suizhou City,106,672,785,16.28356164,113.36982,31.715105,71,1843,0,38.44,21.29
Suining City,95,1127.1,915.81,18.46849315,105.5697098,30.50339317,280,2256,0,33.64,60.91
Taipei City,63,1775,5412.65,22.4,121.5654177,25.0329694,11,9952,1,41,351.93
Taitung County,15,2383,254,22,121.0713702,22.7972447,143,63,1,44,22
Tainan City,55,1638,2378.27,23.8,120.2270277,22.9997281,28,860,1,45,127.33
Taichung City,30,2383,3774.95,22.5,120.6736482,24.1477358,90,1240,1,44,106
Taizhou City,55,581,3558.13,16.8,121.43,28.68,14,1378,1,38.55,77.81
Taicang City,47,1742,625.64,17,121.13055,31.457735,4,581,0,33,14
Taiyuan City,138,401.5,2735.34,11.8890411,112.5693512,37.87111282,788,618,0,36,23
Tai'an City,151,537,3240,9.952054795,117.1241074,36.1871109,167,1658,0,36.64,31.71
Taizhou City,70,1742,3655.53,18.89863014,119.91124,32.495872,8,801,0,36,29
Tangshan City,166,547,6225.3,12.55890411,118.2017288,39.62533951,25.9,591,1,34,24
Taoyuan City,21,2383,2990.09,22.6,121.3009798,24.9936281,111,1727,1,44,93.75
Tianjin Municipality,121,574.4,16538.19,14.89863014,117.2034988,39.13111877,3.3,1298,1,34,421.66
Tianmen City,62,1200,440,16.1,113.165862,30.653061,27,928,0,37.87,16.43
Tieling City,79,708,745,9.460273973,123.844429,42.29558182,57,205,0,33,31
Tongliao City,82,440,1877.27,8.561643836,122.2603302,43.61156082,177,52,0,36,31
Tongchuan city,98,480,324.54,12.88082192,109.0572815,35.07545853,717,7336,0,43.49,13.63
Tongling City,58,1584,721.3,17.45616438,117.813179,30.92524719,26,2632,0,44.86,10.74
Wafangdian City,122,592,935.9,11.26438356,121.979603,39.627114,120,270,1,44,33
Weihai City,49,1670,3001.57,13.90821918,122.1116867,37.50076294,22,1473,1,41.1,41.35
Weifang City,146,288.3,5100,14.74931507,119.1068497,36.7040863,31,1082,0,42.04,47.43
Weinan City,117,537,1469.08,15.60410959,109.5008392,34.50152588,355,2022,0,38.69,20.39
Wenzhou City,50,1742,4619.84,19.61506849,120.6502914,28.01647568,9,774,1,41,24
Wendeng City,41,708,829.7,13.39726027,122.057988,37.193882,45,360,1,46,25
Wenshan Prefecture,60,1000,190.1,17.5,104.23251,23.386305,1259,5216,0,23.68,10.33
Wuhai City,113,480,258.92,10.5,106.8148727,39.67420197,1092,317,0,36,23
Urumqi City,170,408.9,2680,9.1,87.60611725,43.79093933,836,2123,0,40.3,138.55
Wuxi City,69,2055,8518.26,18.25616438,120.2991333,31.57723045,5,1360,0,36,198.34
Wuhu City,56,1742,2457.3,17.33104396,118.3598328,31.33449554,8,610,0,36,27
Wujiang City,55,1742,1540,17.54246575,120.645158,31.138677,7,652,0,36,28
Wuhan City,128,1427.5,10905.06,17.15068493,114.2919388,30.56751442,15,4413,0,41.99,330.68
Xi’an city,113,558,5810.03,15.48493151,108.949028,34.26168442,385,7820,0,42.62,332.34
Xining City,72,308.2,1131.62,7.283561644,101.7874527,36.60944748,2263,3388,0,38.92,55.8
Sipsongpanna Prefecture,69,1893.7,335.9,20,100.79715,22.00881,555,59,0,36,23
Xilin Gol League,18,250,1002.6,1.5,116.0482221,43.933454,987,5,0,33,22
Xiantao city,78,1200,590,16.3,113.423482,30.360882,30,1667,0,22.79,18.89
Xianning City,85,1584.2,1035,17.62739726,114.2687378,29.89432716,28,2493,0,21.57,15.26
Xianyang City,127,537,2155.91,14.07260274,108.7101288,34.33721542,383,2007,0,40.27,30.96
HongKong SAR,37,2383,17900,22.8,114.109497,22.396428,321,25900,1,37,594.48
Shangri-la City,24,617.6,100.9,5.5,99.7,27.83,3459,2034,0,8.67,4.64
Xiangtan City,67,142,1703.1,18.51232877,112.9150238,27.87335014,68,4851,0,36.23,30.42
Xiangyang City,118,672,3400,15.1,112.122426,32.009016,70,3099,0,41.18,34.33
Xiaogan City,101,1200,1460,16,113.9113312,30.92845535,24,5553,0,34.45,16.4
Xinzhou City,65,1450,680,10.50684932,112.7315521,38.39920807,790,125,0,33,23
New Taipei City,16,1775,5470.33,22,121.4627868,25.0169826,15,1935,1,41,24
Xinyu City,47,1700,946.8,18.7739726,114.9293823,27.80654716,63,2041,0,46.71,16.1
Hsinchu City,21,1700,686,22.2,120.9674798,24.8138287,25,4199,1,46,24
Hsinchu County,22,1700,714,22.2,121.0177246,24.8387226,30,380,1,46,24
Xinyang City,106,537,1877.75,16.60821918,114.0677185,32.13063049,106,2065,0,39.9,27.11
Xingtai City,175,534,1668.1,14.86712329,114.4950867,37.0655899,76.8,586,0,36,27
Hinggan League,36,1469,502.31,5,122.037657,46.082462,274,27,0,33,29
Suqian City,82,831,2126.19,15.65890411,118.29706,33.958302,30,582,0,36,27
Suzhou City(Anhui),87,910,1235.8,16.21917808,116.9701538,33.6401329,28,566,0,33,29
Xuzhou City,116,831.6,5319.88,15.50547945,117.1856079,34.26752853,36,770,0,36,31
Xuchang City,82,672,2170.6,15.28767123,113.8215866,34.02685928,71,5196,0,38.05,23.33
Xuancheng City,54,1742,971.5,17.07808219,118.75,30.95,15,210,0,33,14
Yaan City,81,1388.6,517.72,17.98356164,102.9826965,29.98229408,580,1346,0,40.8,15.19
Yantai City,89,574,6446.08,13.8,121.3799362,37.53561401,4,1962,1,44.38,119.91
Yanan City,108,510.4,1198.63,10.89041096,109.471283,36.59387207,1070,6300,0,40.78,13.21
Yancheng City,88,684,4212.5,15.73561644,120.1351776,33.38982773,1,496,1,44,24
Yangzhou City,97,1742,4016.84,16.32876712,119.4368362,32.39188766,12,676,0,36,31
Yangjiang City,24,1966,1256,23.78082192,111.9578934,21.84523392,4,1180,1,44.71,22.82
Yangquan City,102,480,598.85,11.8260274,113.5742569,37.86065674,672,314,0,33,23
Yibin City,69,866.3,1529.9,19.68767123,104.6168671,28.77025604,321,707,0,38.22,29.21
Yichang City,104,1651.5,3384.8,16.84931507,111.2852707,30.70395279,59,1709,0,39.91,31.43
Yichun City,36,1469,1621.02,17.2,114.3746109,27.79557419,96,6517,0,50.56,16.75
Yilan County,21,1268,565,25,121.7377502,24.7021073,13,214,1,41,24
Yixing City,57,1200,1320,16.54520548,119.823308,31.340637,34,530,0,33,14
Yiwu City,78,672,1046,17,120.07514,29.306756,73,669,0,33,14
Yiyang City,66,866,1354.41,15.28630137,112.3340683,28.60197067,81,5632,0,39.47,17.19
Yinchuan City,81,227,1480.73,11.31643836,106.2719421,38.46800995,1111,799,0,40.89,51.93
Yingtan City,41,1700,639.26,19.19452055,117.0302811,28.2455864,40,325,0,36,14
Yingkou City,88,878,1500,10.53424658,122.2241516,40.66835022,5,492,1,44,24
Yongzhou City,59,1901,1418.18,19.13835616,111.6121979,26.2112999,103,5372,0,43.34,18.85
Yuxi City,46,892,1245.7,17.5260274,102.5332336,24.35497284,1625,3397,0,42.21,10.86
Yueyang City,77,1638.4,2886.28,18.23972603,113.0980682,29.37461853,37,4581,0,35.3,29.28
Yunfu City,15,1469,710.07,21.5,112.03999,22.933193,150,3118,0,34.84,10.76
Yunlin County,48,1700,715,22,120.4313373,23.7092033,28,542,1,46,24
Yuncheng City,119,592.4,1173.54,15.21780822,110.9911499,35.01391602,370,374,0,33,30
Zaozhuang City,148,534,2030,15.24657534,117.556282,34.87264633,89,2784,0,44.92,46.25
