大类,商品,印尼盾IDR/RP,人民币CNY,是否本土,一周以上,一周以内,次日,货到付款,主打信息,链接,,
女士时尚,穆斯林头巾,4500,2.25,是,\,3,\,不支持,,https://www.lazada.co.id/products/ku008-bandana-rajut-kerut-2-warna-2-tone-ciput-kerut-inner-rajut-i409079454-s453839789.html?,,
配饰,一对情侣表,40000,20,是,\,3,\,支持,,https://www.lazada.co.id/products/jam-tangan-quartz-1-pair-pria-dan-wanita-strap-kulit-pu-men-women-stainless-steel-leather-couple-watch-i7714227-s9815108.html?spm=a2o4j.searchlist.bestshown_1.12.35b4ee72WAqH1u&search=1,,
,如果自己发物流，内衣、手表、项链配饰可以做出一定价格空间,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
市场背景,Shopee印尼跨境近期增长迅猛的品类分别是母婴品类（Baby & Kids）和电子品类（Electronics）。母婴品类一直是Shopee印尼跨境的强势品类，在过去半年该品类的单量翻了近8倍。较少受到关注的电子品类单量也翻了近5倍。手表是印尼热销商品；家居品类则以装饰、厨房用品、厕所用品、起居和收纳用品为主。,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,印尼人平均每天在社交媒体上花费3小时16分钟。鉴于此，电商玩家就必须优化社交媒体作为营销渠道。,,,,,,,,,,,
,印尼人口近2.64亿，国土狭长，位于赤道线上。87%信仰伊斯兰教，却是世俗国家导向（即包容，发展为主）。,,,,,,,,,,,
,近期印尼市场调查机构Jakpat新研究:时尚与小工具类产品是最热销售品; 68.14%受访线上商家主要销售新产品;脸书仍然是主要的交易平台;OLX是主要的旧货交易平台;JNE是大部分线上商家所信任的交递服务公司。,,,,,,,,,,,
,,,,,,,,,,,,
,Lazada 最热卖的当属项链和眼镜。除了造型独特以外，金色并且闪闪发光的物品是印尼人民永恒的最爱。第三季度东南亚市场尤其是印尼、菲律宾和泰国市场的手机销售十分火爆。印尼货到付款仍是绝对主流，占比65.3%。,,,,,,,,,,,
,,,,,,,,,,,,
,2017年底，印尼的智能手机用户数达6710万。,,,,,,,,,,,
