Team,#,Pos.,FIFA Popular Name,Birth Date,Shirt Name,Club,Height,Weight
Belgium,10,FW,HAZARD Eden,07.01.1991,E. HAZARD,Chelsea FC (ENG),173,74
Belgium,18,FW,JANUZAJ Adnan,05.02.1995,JANUZAJ,Real Sociedad (ESP),180,75
Belgium,23,DF,DENDONCKER Leander,15.04.1995,DENDONCKER,RSC Anderlecht (BEL),188,76
Belgium,21,FW,BATSHUAYI Michy,02.10.1993,BATSHUAYI,Borussia Dortmund (GER),185,78
Belgium,3,DF,VERMAELEN Thomas,14.11.1985,VERMAELEN,FC Barcelona (ESP),183,80
Belgium,2,DF,ALDERWEIRELD Toby,02.03.1989,ALDERWEIRELD,Tottenham Hotspur FC (ENG),186,81
Belgium,19,MF,DEMBELE Moussa,16.07.1987,DEMBELE,Tottenham Hotspur FC (ENG),185,82
Belgium,20,DF,BOYATA Dedryck,28.11.1990,BOYATA,Celtic FC (SCO),188,84
Belgium,4,DF,KOMPANY Vincent,10.04.1986,KOMPANY,Manchester City FC (ENG),190,85
Belgium,8,MF,FELLAINI Marouane,22.11.1987,FELLAINI,Manchester United FC (ENG),194,85
Belgium,22,MF,CHADLI Nacer,02.08.1989,CHADLI,West Bromwich Albion FC (ENG),187,85
Belgium,5,DF,VERTONGHEN Jan,24.04.1987,VERTONGHEN,Tottenham Hotspur FC (ENG),189,86
Belgium,13,GK,CASTEELS Koen,25.06.1992,CASTEELS,VfL Wolfsburg (GER),197,86
Belgium,12,GK,MIGNOLET Simon,06.03.1988,MIGNOLET,Liverpool FC (ENG),193,87
Belgium,15,DF,MEUNIER Thomas,12.09.1991,MEUNIER,Paris Saint-Germain FC (FRA),190,88
Belgium,1,GK,COURTOIS Thibaut,11.05.1992,COURTOIS,Chelsea FC (ENG),199,91
Belgium,9,FW,LUKAKU Romelu,13.05.1993,R. LUKAKU,Manchester United FC (ENG),190,94
Brazil,18,MF,FRED,05.03.1993,FRED,FC Shakhtar Donetsk (UKR),169,64
Brazil,21,FW,TAISON,13.01.1988,TAISON,FC Shakhtar Donetsk (UKR),172,64
Brazil,17,MF,FERNANDINHO,04.05.1985,FERNANDINHO,Manchester City FC (ENG),179,67
Brazil,22,DF,FAGNER,11.06.1989,FAGNER,SC Corinthians (BRA),168,67
Brazil,10,FW,NEYMAR,05.02.1992,NEYMAR JR,Paris Saint-Germain FC (FRA),175,68
Brazil,11,MF,PHILIPPE COUTINHO,12.06.1992,P. COUTINHO,FC Barcelona (ESP),172,68
Brazil,7,FW,DOUGLAS COSTA,14.09.1990,D. COSTA,Juventus FC (ITA),182,70
Brazil,6,DF,FILIPE LUIS,09.08.1985,FILIPE LUIS,Atletico Madrid (ESP),182,73
Brazil,9,FW,GABRIEL JESUS,03.04.1997,G. JESUS,Manchester City FC (ENG),175,73
Brazil,13,DF,MARQUINHOS,14.05.1994,MARQUINHOS,Paris Saint-Germain FC (FRA),183,75
Brazil,20,FW,ROBERTO FIRMINO,02.10.1991,FIRMINO,Liverpool FC (ENG),181,76
Brazil,19,MF,WILLIAN,09.08.1988,WILLIAN,Chelsea FC (ENG),175,77
Brazil,3,DF,MIRANDA,07.09.1984,MIRANDA,FC Internazionale (ITA),186,78
Brazil,14,DF,DANILO,15.07.1991,DANILO,Manchester City FC (ENG),184,78
Brazil,2,DF,THIAGO SILVA,22.09.1984,T. SILVA,Paris Saint-Germain FC (FRA),183,79
Brazil,12,DF,MARCELO,12.05.1988,MARCELO,Real Madrid CF (ESP),174,80
Brazil,15,MF,PAULINHO,25.07.1988,PAULINHO,FC Barcelona (ESP),181,81
Brazil,4,DF,PEDRO GEROMEL,21.09.1985,GEROMEL,Grêmio FBPA (BRA),190,84
Brazil,5,MF,CASEMIRO,23.02.1992,CASEMIRO,Real Madrid CF (ESP),185,84
Brazil,8,MF,RENATO AUGUSTO,08.02.1988,R. AUGUSTO,Beijing Guoan (CHN),186,86
Brazil,23,GK,EDERSON,17.08.1993,EDERSON,Manchester City FC (ENG),188,86
Brazil,1,GK,ALISSON,02.10.1992,A. BECKER,AS Roma (ITA),193,91
Brazil,16,GK,CASSIO,06.06.1987,CASSIO,SC Corinthians (BRA),195,92
Colombia,20,MF,QUINTERO Juan,18.01.1993,J. QUINTERO,CA River Plate (ARG),169,64
Colombia,17,DF,MOJICA Johan,21.08.1992,J. MOJICA,Girona FC (ESP),185,66
Colombia,16,MF,LERMA Jefferson,25.10.1994,J. LERMA,Levante UD (ESP),179,70
Colombia,4,DF,ARIAS Santiago,13.01.1992,ARIAS,PSV Eindhoven (NED),177,71
Colombia,15,MF,URIBE Mateus,21.03.1991,M. URIBE,Club América (MEX),182,71
Colombia,9,FW,FALCAO Radamel,10.02.1986,FALCAO,AS Monaco (FRA),177,72
Colombia,11,MF,CUADRADO Juan,26.05.1988,CUADRADO,Juventus FC (ITA),179,72
Colombia,18,DF,FABRA Frank,22.02.1991,FABRA,CA Boca Juniors (ARG),172,72
Colombia,21,FW,IZQUIERDO Jose,07.07.1992,IZQUIERDO,Brighton & Hove Albion FC (ENG),171,73
Colombia,5,MF,BARRIOS  Wilmar,16.10.1993,BARRIOS,CA Boca Juniors (ARG),178,74
Colombia,19,FW,BORJA Miguel,26.01.1993,M. BORJA,SE Palmeiras (BRA),183,74
Colombia,10,MF,RODRIGUEZ James,12.07.1991,JAMES,FC Bayern München (GER),180,75
Colombia,7,FW,BACCA Carlos,08.09.1986,BACCA,Villarreal CF (ESP),181,77
Colombia,14,FW,MURIEL Luis,16.04.1991,L. MURIEL,Sevilla FC (ESP),178,79
Colombia,1,GK,OSPINA David,31.08.1988,OSPINA,Arsenal FC (ENG),183,80
Colombia,3,DF,MURILLO Oscar,18.04.1988,O. MURILLO,CF Pachuca (MEX),184,80
Colombia,12,GK,VARGAS Camilo,09.03.1989,C. VARGAS,AC Deportivo Cali (COL),185,80
Colombia,22,GK,CUADRADO Jose,01.06.1985,J.F. CUADRADO,CD Once Caldas (COL),180,80
Colombia,23,DF,SANCHEZ Davinson,12.06.1996,D. SANCHEZ,Tottenham Hotspur FC (ENG),187,81
Colombia,2,DF,ZAPATA Cristian,30.09.1986,C. ZAPATA,AC Milan (ITA),187,82
Colombia,6,MF,SANCHEZ Carlos,06.02.1986,C. SANCHEZ,RCD Espanyol (ESP),182,82
Colombia,8,MF,AGUILAR Abel,06.01.1985,AGUILAR T.,AC Deportivo Cali (COL),185,82
Colombia,13,DF,MINA Yerry,23.09.1994,Y. MINA,FC Barcelona (ESP),194,95
Costa Rica,7,MF,BOLANOS Christian,17.05.1984,C. BOLAÑOS,Deportivo Saprissa (CRC),178,67
Costa Rica,16,DF,GAMBOA Cristian,24.10.1989,C. GAMBOA,Celtic FC (SCO),175,67
Costa Rica,17,MF,TEJEDA Yeltsin,17.03.1992,Y. TEJEDA,FC Lausanne-Sport (SUI),179,67
Costa Rica,4,DF,SMITH Ian,06.03.1998,I. SMITH,IFK Norrkoping FK (SWE),177,68
Costa Rica,8,DF,OVIEDO Bryan,18.02.1990,B. OVIEDO,Sunderland AFC (ENG),172,70
Costa Rica,13,MF,WALLACE Rodney,17.06.1988,R. WALLACE,New York City FC (USA),180,70
Costa Rica,21,FW,URENA Marcos,05.03.1990,M. UREÑA,Los Angeles FC (USA),181,70
Costa Rica,22,DF,MATARRITA Ronald,09.07.1994,R. MATARRITA,New York City FC (USA),175,70
Costa Rica,23,GK,MOREIRA Leonel,02.04.1990,L. MOREIRA,CS Herediano (CRC),179,70
Costa Rica,12,FW,CAMPBELL Joel,26.06.1992,J. CAMPBELL,Real Betis (ESP),178,71
Costa Rica,18,GK,PEMBERTON Patrick,24.04.1982,P. PEMBERTON,LD Alajuelense (CRC),178,72
Costa Rica,10,MF,RUIZ Bryan,18.08.1985,BRYAN,Sporting CP (POR),187,73
Costa Rica,2,DF,ACOSTA Johnny,21.07.1983,J. ACOSTA,Rionegro Águilas (COL),176,75
Costa Rica,9,MF,COLINDRES Daniel,10.01.1985,D. COLINDRES,Deportivo Saprissa (CRC),180,75
Costa Rica,11,FW,VENEGAS Johan,27.11.1988,J. VENEGAS,Deportivo Saprissa (CRC),183,76
Costa Rica,3,DF,GONZALEZ Giancarlo,08.02.1988,G. GONZALEZ,Bologna FC (ITA),186,78
Costa Rica,15,DF,CALVO Francisco,08.07.1992,F. CALVO,Minnesota United FC (USA),180,78
Costa Rica,20,MF,GUZMAN David,18.02.1990,D. GUZMAN,Portland Timbers (USA),176,78
Costa Rica,5,MF,BORGES Celso,27.05.1988,C. BORGES,Deportivo La Coruña (ESP),187,79
Costa Rica,1,GK,NAVAS Keylor,15.12.1986,K. NAVAS,Real Madrid CF (ESP),185,80
Costa Rica,6,DF,DUARTE Oscar,03.06.1989,O. DUARTE,RCD Espanyol (ESP),186,81
Costa Rica,14,MF,AZOFEIFA Randall,30.12.1984,R. AZOFEIFA,CS Herediano (CRC),182,83
Costa Rica,19,DF,WASTON Kendall,01.01.1988,K. WASTON,Vancouver Whitecaps FC (CAN),196,87
Croatia,10,MF,MODRIC Luka,09.09.1985,MODRIĆ,Real Madrid CF (ESP),172,66
Croatia,11,MF,BROZOVIC Marcelo,16.11.1992,BROZOVIĆ,FC Internazionale (ITA),181,68
Croatia,22,DF,PIVARIC Josip,30.01.1989,PIVARIĆ,FC Dynamo Kyiv (UKR),176,69
Croatia,9,FW,KRAMARIC Andrej,19.06.1991,KRAMARIĆ,TSG 1899 Hoffenheim (GER),177,73
Croatia,2,DF,VRSALJKO Sime,10.01.1992,VRSALJKO,Atletico Madrid (ESP),181,76
Croatia,19,MF,BADELJ Milan,25.02.1989,BADELJ,ACF Fiorentina (ITA),186,76
Croatia,21,DF,VIDA Domagoj,29.04.1989,VIDA,Besiktas JK (TUR),184,76
Croatia,3,DF,STRINIC Ivan,17.07.1987,STRINIĆ,UC Sampdoria (ITA),186,78
Croatia,7,MF,RAKITIC Ivan,10.03.1988,RAKITIĆ,FC Barcelona (ESP),184,78
Croatia,8,MF,KOVACIC Mateo,06.05.1994,KOVAČIĆ,Real Madrid CF (ESP),178,78
Croatia,14,MF,BRADARIC Filip,11.01.1992,BRADARIĆ,HNK Rijeka (CRO),186,78
Croatia,18,FW,REBIC Ante,21.09.1993,REBIĆ,Eintracht Frankfurt (GER),185,78
Croatia,4,FW,PERISIC Ivan,02.02.1989,PERIŠIĆ,FC Internazionale (ITA),186,81
Croatia,13,DF,JEDVAJ Tin,28.11.1995,JEDVAJ,Bayer 04 Leverkusen (GER),184,81
Croatia,16,FW,KALINIC Nikola,05.01.1988,N. KALINIĆ,AC Milan (ITA),187,81
Croatia,1,GK,LIVAKOVIC Dominik,09.01.1995,LIVAKOVIĆ,GNK Dinamo Zagreb (CRO),188,82
Croatia,20,FW,PJACA Marko,06.05.1995,PJACA,FC Schalke 04 (GER),186,83
Croatia,5,DF,CORLUKA Vedran,05.02.1986,ĆORLUKA,FC Lokomotiv Moscow (RUS),192,84
Croatia,6,DF,LOVREN Dejan,05.07.1989,LOVREN,Liverpool FC (ENG),188,84
Croatia,23,GK,SUBASIC Danijel,27.10.1984,SUBAŠIĆ,AS Monaco (FRA),191,84
Croatia,17,FW,MANDZUKIC Mario,21.05.1986,MANDŽUKIĆ,Juventus FC (ITA),190,85
Croatia,15,DF,CALETA-CAR Duje,17.09.1996,ĆALETA-CAR,FC Red Bull Salzburg (AUT),192,89
Croatia,12,GK,KALINIC Lovre,03.04.1990,L. KALINIĆ,KAA Gent (BEL),201,96
Denmark,2,MF,KROHN-DEHLI Michael,06.06.1983,KROHN-DEHLI,Deportivo La Coruña (ESP),171,69
Denmark,23,FW,SISTO Pione,04.02.1995,SISTO,Celta Vigo (ESP),173,69
Denmark,11,FW,BRAITHWAITE Martin,05.06.1991,BRAITHWAITE,FC Girondins Bordeaux (FRA),180,73
Denmark,10,MF,ERIKSEN Christian,14.02.1992,ERIKSEN,Tottenham Hotspur FC (ENG),181,76
Denmark,8,MF,DELANEY Thomas,03.09.1991,DELANEY,SV Werder Bremen (GER),180,78
Denmark,7,MF,KVIST William,24.02.1985,KVIST,FC Kobenhavn (DEN),185,80
Denmark,15,FW,FISCHER Viktor,09.06.1994,FISCHER,FC Kobenhavn (DEN),181,80
Denmark,19,MF,SCHONE Lasse,27.05.1986,SCHÖNE,AFC Ajax (NED),178,80
Denmark,14,DF,DALSGAARD Henrik,27.07.1989,DALSGAARD,Brentford FC (ENG),190,81
Denmark,5,DF,KNUDSEN Jonas,16.09.1992,KNUDSEN,Ipswich Town FC (ENG),187,82
Denmark,17,DF,STRYGER LARSEN Jens,21.02.1991,STRYGER,Udinese Calcio (ITA),182,82
Denmark,4,DF,KJAER Simon,26.03.1989,KJÆR,Sevilla FC (ESP),191,84
Denmark,20,FW,POULSEN Yussuf Yurary,15.06.1994,YURARY,RB Leipzig (GER),193,84
Denmark,6,DF,CHRISTENSEN Andreas,10.04.1996,CHRISTENSEN,Chelsea FC (ENG),192,85
Denmark,12,FW,DOLBERG Kasper,06.10.1997,DOLBERG,AFC Ajax (NED),187,85
Denmark,13,DF,JORGENSEN Mathias,23.04.1990,M. JØRGENSEN,Huddersfield Town FC (ENG),191,85
Denmark,18,MF,LERAGER Lukas,12.07.1993,LERAGER,FC Girondins Bordeaux (FRA),186,85
Denmark,22,GK,RONNOW Frederik,04.08.1992,RØNNOW,Brondby IF (DEN),190,85
Denmark,9,FW,JORGENSEN Nicolai,15.01.1991,N. JØRGENSEN,Feyenoord Rotterdam (NED),194,86
Denmark,16,GK,LOSSL Jonas,01.02.1989,LÖSSL,Huddersfield Town FC (ENG),195,90
Denmark,21,FW,CORNELIUS Andreas,16.03.1993,CORNELIUS,Atalanta Bergamo (ITA),195,91
Denmark,1,GK,SCHMEICHEL Kasper,05.11.1986,SCHMEICHEL,Leicester City FC (ENG),190,92
Denmark,3,DF,VESTERGAARD Jannik,03.08.1992,VESTERGAARD,VfL Borussia Mönchengladbach (GER),200,98
Egypt,8,MF,TAREK HAMED,24.10.1988,TAREK HAMED,Zamalek (EGY),169,67
Egypt,4,MF,OMAR GABER,30.01.1992,O. GABER,Los Angeles FC (USA),175,71
Egypt,10,FW,MOHAMED SALAH,15.06.1992,M SALAH,Liverpool FC (ENG),175,71
Egypt,13,DF,MOHAMED ABDELSHAFY,01.07.1985,ABDELSHAFY,Al Fateh FC (KSA),171,72
Egypt,15,DF,MAHMOUD HAMDY,01.06.1995,M. HAMDY,Zamalek (EGY),173,72
Egypt,12,DF,AYMAN ASHRAF,09.04.1991,A. ASHRAF,Al Ahly SC (EGY),176,73
Egypt,17,MF,MOHAMED ELNENY,11.07.1992,M. ELNENY,Arsenal FC (ENG),181,74
Egypt,5,MF,SAM MORSY,10.09.1991,MORSY,Wigan Athletic FC (ENG),173,75
Egypt,19,MF,ABDALLA SAID,13.07.1985,ABDALLA,Kuopion PS (FIN),176,75
Egypt,3,DF,AHMED ELMOHAMADY,09.09.1987,ELMOHAMADY,Aston Villa FC (ENG),183,76
Egypt,7,DF,AHMED FATHI,10.11.1984,A. FATHI,Al Ahly SC (EGY),176,76
Egypt,11,FW,KAHRABA,13.04.1994,M. KAHRABA,Al-Ittihad FC (KSA),182,76
Egypt,14,FW,RAMADAN SOBHY,23.01.1997,RAMADAN,Stoke City FC (ENG),183,77
Egypt,21,MF,TREZEGUET,01.10.1994,M. TREZEGUET,Kasimpasa SK (TUR),181,77
Egypt,22,FW,AMR WARDA,17.09.1993,WARDA,Atromitos FC (GRE),179,77
Egypt,18,FW,SHIKABALA,05.03.1986,SHIKABALA,Al Raed SC (KSA),183,80
Egypt,9,FW,MARWAN MOHSEN,26.02.1989,MARWAN,Al Ahly SC (EGY),185,81
Egypt,20,DF,SAMIR SAAD,01.04.1989,S. SAMIR,Al Ahly SC (EGY),183,82
Egypt,23,GK,MOHAMED ELSHENAWY,18.12.1988,M. ELSHENAWY,Al Ahly SC (EGY),191,86
Egypt,2,DF,ALI GABR,01.01.1989,ALI GABR,West Bromwich Albion FC (ENG),191,88
Egypt,1,GK,ESSAM EL HADARY,15.01.1973,ELHADARY,Al Taawoun FC (KSA),190,90
Egypt,16,GK,SHERIF EKRAMY,10.07.1983,EKRAMY,Al Ahly SC (EGY),193,93
Egypt,6,DF,AHMED HEGAZY,25.01.1991,A. HEGAZY,West Bromwich Albion FC (ENG),194,95
England,7,MF,LINGARD Jesse,15.12.1992,LINGARD,Manchester United FC (ENG),175,60
England,10,FW,STERLING Raheem,08.12.1994,STERLING,Manchester City FC (ENG),170,70
England,22,DF,ALEXANDER-ARNOLD Trent,07.10.1998,ALEXANDER-ARNOLD,Liverpool FC (ENG),175,70
England,1,GK,PICKFORD Jordan,07.03.1994,PICKFORD,Everton FC (ENG),185,72
England,5,DF,STONES John,28.05.1994,STONES,Manchester City FC (ENG),188,72
England,12,DF,TRIPPIER Kieran,19.09.1990,TRIPPIER,Tottenham Hotspur FC (ENG),178,72
England,16,DF,JONES Phil,21.02.1992,JONES,Manchester United FC (ENG),182,72
England,21,MF,LOFTUS-CHEEK Ruben,23.01.1996,LOFTUS-CHEEK,Chelsea FC (ENG),190,73
England,3,DF,ROSE Danny,02.07.1990,ROSE,Tottenham Hotspur FC (ENG),173,76
England,20,MF,ALLI Dele,11.04.1996,DELE,Tottenham Hotspur FC (ENG),188,76
England,23,GK,POPE Nick,19.04.1992,POPE,Burnley FC (ENG),191,76
England,14,FW,WELBECK Danny,26.11.1990,WELBECK,Arsenal FC (ENG),184,78
England,17,DF,DELPH Fabian,21.11.1989,DELPH,Manchester City FC (ENG),174,78
England,18,DF,YOUNG Ashley,09.07.1985,YOUNG,Manchester United FC (ENG),175,78
England,19,FW,RASHFORD Marcus,31.10.1997,RASHFORD,Manchester United FC (ENG),180,78
England,11,FW,VARDY Jamie,11.01.1987,VARDY,Leicester City FC (ENG),178,80
England,8,MF,HENDERSON Jordan,17.06.1990,HENDERSON,Liverpool FC (ENG),183,82
England,2,DF,WALKER Kyle,28.05.1990,WALKER,Manchester City FC (ENG),178,83
England,15,DF,CAHILL Gary,19.12.1985,CAHILL,Chelsea FC (ENG),191,85
England,4,MF,DIER Eric,15.01.1994,DIER,Tottenham Hotspur FC (ENG),188,90
England,13,GK,BUTLAND Jack,10.03.1993,BUTLAND,Stoke City FC (ENG),196,96
England,6,DF,MAGUIRE Harry,05.03.1993,MAGUIRE,Leicester City FC (ENG),193,98
England,9,FW,KANE Harry,28.07.1993,KANE,Tottenham Hotspur FC (ENG),188,98
France,8,FW,LEMAR Thomas,12.11.1995,LEMAR,AS Monaco (FRA),172,65
France,11,FW,DEMBELE Ousmane,15.05.1997,DEMBELE,FC Barcelona (ESP),178,70
France,13,MF,KANTE Ngolo,29.03.1991,KANTE,Chelsea FC (ENG),168,70
France,7,FW,GRIEZMANN Antoine,21.03.1991,GRIEZMANN,Atletico Madrid (ESP),174,72
France,14,MF,MATUIDI Blaise,09.04.1987,MATUIDI,Juventus FC (ITA),180,74
France,2,DF,PAVARD Benjamin,28.03.1996,PAVARD,VfB Stuttgart (GER),186,76
France,18,FW,FEKIR Nabil,18.07.1993,FEKIR,Olympique Lyon (FRA),173,76
France,20,FW,THAUVIN Florian,26.01.1993,THAUVIN,Olympique Marseille (FRA),180,76
France,21,DF,HERNANDEZ Lucas,14.02.1996,HERNANDEZ,Atletico Madrid (ESP),183,76
France,3,DF,KIMPEMBE Presnel,13.08.1995,KIMPEMBE,Paris Saint-Germain FC (FRA),182,78
France,10,FW,MBAPPE Kylian,20.12.1998,MBAPPE,Paris Saint-Germain FC (FRA),178,78
France,4,DF,VARANE Raphael,25.04.1993,VARANE,Real Madrid CF (ESP),191,79
France,19,DF,SIDIBE Djibril,29.07.1992,SIDIBE,AS Monaco (FRA),184,81
France,1,GK,LLORIS Hugo,26.12.1986,LLORIS,Tottenham Hotspur FC (ENG),188,82
France,12,MF,TOLISSO Corentin,03.08.1994,TOLISSO,FC Bayern München (GER),180,82
France,5,DF,UMTITI Samuel,14.11.1993,UMTITI,FC Barcelona (ESP),183,84
France,22,DF,MENDY Benjamin,17.07.1994,MENDY,Manchester City FC (ENG),183,84
France,6,MF,POGBA Paul,15.03.1993,POGBA,Manchester United FC (ENG),191,86
France,15,MF,NZONZI Steven,15.12.1988,NZONZI,Sevilla FC (ESP),197,87
France,16,GK,MANDANDA Steve,28.03.1985,MANDANDA,Olympique Marseille (FRA),187,88
France,17,DF,RAMI Adil,27.12.1985,RAMI,Olympique Marseille (FRA),190,90
France,9,FW,GIROUD Olivier,30.09.1986,GIROUD,Chelsea FC (ENG),193,91
France,23,GK,AREOLA Alphonse,27.02.1993,AREOLA,Paris Saint-Germain FC (FRA),195,95
Germany,11,FW,REUS Marco,31.05.1989,REUS,Borussia Dortmund (GER),180,67
Germany,10,MF,OEZIL Mesut,15.10.1988,ÖZIL,Arsenal FC (ENG),180,70
Germany,18,DF,KIMMICH Joshua,08.02.1995,KIMMICH,FC Bayern München (GER),176,72
Germany,7,MF,DRAXLER Julian,20.09.1993,DRAXLER,Paris Saint-Germain FC (FRA),185,74
Germany,19,MF,RUDY Sebastian,28.02.1990,RUDY,FC Bayern München (GER),179,74
Germany,3,DF,HECTOR Jonas,27.05.1990,HECTOR,1. FC Köln (GER),185,75
Germany,9,FW,WERNER Timo,06.03.1996,WERNER,RB Leipzig (GER),181,75
Germany,13,MF,MUELLER Thomas,13.09.1989,MÜLLER,FC Bayern München (GER),186,75
Germany,2,DF,PLATTENHARDT Marvin,26.01.1992,PLATTENHARDT,Hertha BSC (GER),181,76
Germany,14,MF,GORETZKA Leon,06.02.1995,GORETZKA,FC Schalke 04 (GER),189,76
Germany,8,MF,KROOS Toni,04.01.1990,KROOS,Real Madrid CF (ESP),182,78
Germany,21,MF,GUENDOGAN Ilkay,24.10.1990,GÜNDOGAN,Manchester City FC (ENG),180,79
Germany,6,DF,KHEDIRA Sami,04.04.1987,KHEDIRA,Juventus FC (ITA),189,81
Germany,20,MF,BRANDT Julian,02.05.1996,BRANDT,Bayer 04 Leverkusen (GER),183,82
Germany,23,FW,GOMEZ Mario,10.07.1985,GOMEZ,VfB Stuttgart (GER),189,82
Germany,4,DF,GINTER Matthias,19.01.1994,GINTER,VfL Borussia Mönchengladbach (GER),189,85
Germany,16,DF,RUEDIGER Antonio,03.03.1993,RÜDIGER,Chelsea FC (ENG),191,85
Germany,22,GK,TER STEGEN Marc-Andre,30.04.1992,TER STEGEN,FC Barcelona (ESP),187,85
