中文单位名,英文单位名
,"Jiang Su Coll Nursing, Dept Inspect & Pharm, Huaian, Peoples R China
;"
,"Jiang Xi Sci & Technol Normal Univ, Architecture & Civil Engn Dept, Nanchang, Peoples R China"
,"Jianganan Univ, Sch Sci, Wu Xi 214122, Peoples R China
;"
,"Jiangangshan Univ, Coll Life Sci, Jian 343009, Jiangxi, Peoples R China
;"
,"Jianghan University, Wuhan"
,"Jianghuai College, Auhui University, Hefei, 230061, China
;"
,"Jiangnnan Univ, Sch Internet Things Engn, Wuxi, Jiangsu, Peoples R China
;"
,"Jiangsu Agr & Anim Husb Coll, Nutr & Biotechnol Res Ctr, Taizhou 225300, Peoples R China"
,"Jiangsu Anim Husb & Vet Coll, Coll Vet Med, Taizhou, Jiangsu, Peoples R China"
,"Jiangsu Anim Husb & Vet Coll, Taizhou 225300, Jiangsu, Peoples R China"
,"Jiangsu Anim Husb & Vet Coll, Taizhou 225300, Jiangsu, Peoples R China"
,"Jiangsu Anim Husb & Vet Coll, Taizhou 225300, Jiangsu, Peoples R China"
,"Jiangsu Anim Husb & Vet Coll, Taizhou, Peoples R China"
,"Jiangsu Anim Husb & Vet Sci Coll, Dept Pharm, Taizhou 225300, Peoples R China"
,"Jiangsu Aviat Tech Coll, Basic Educ Dept, Zhenjiang 212134, Peoples R China
;"
,"Jiangsu Aviat Tech Coll, Coll Arts & Sci, Zhenjiang 212134, Peoples R China
;"
,"Jiangsu Coinnovat Ctr Prevent & Control Important, 88 South Univ Ave, Yangzhou 225009, Jiangsu, Peoples R China"
,"Jiangsu Coinnovat Ctr Prevent & Control Important, Jiangsu Key Lab Zoonosis, Univ Str 1,South Univ Ave, Yangzhou 225009, Jiangsu, Peoples R China
;"
,"Jiangsu Ctr Collaborat & Innovat Canc Biotherapy, Canc Inst, Xuzhou 221002, Jiangsu, Peoples R China
;"
,"Jiangsu Engineering of Career Technical College, Nantong, Jiangsu, 226007, China
;"
,"Jiangsu Formal Univ, Coll Life Sci, Dept Biol, Xuzhou 221116, Jiangsu, Peoples R China
;"
,"Jiangsu Inst Commerce, Coll Engn Technol, Nanjing 211100, Jiangsu, Peoples R China
;"
,"Jiangsu Inst Commerce, Coll Engn, Nanjing 211100, Jiangsu, Peoples R China
;"
,"Jiangsu Inst Commerce, Coll Engn, Nanjing, Jiangsu, Peoples R China
;"
,"Jiangsu Inst Commerce, Coll Engn, Nanjing, Jiangsu, Peoples R China
;"
,"Jiangsu Inst Commerce, Coll Informat Technol, Nanjing 211100, Jiangsu, Peoples R China
;"
,"Jiangsu Institute of Technology, Computer Engineering College, ChangZhou"
,"Jiangsu Int Energy Policy Res Ctr Coll & Univ, Xuzhou 221116, Jiangsu, Peoples R China
;"
,"Jiangsu Int Energy Policy Res Ctr Coll & Univ, Xuzhou 221116, Jiangsu, Peoples R China
;"
,"Jiangsu Jianzhu Inst, Coll Construct Management, Xuzhou 221116, Peoples R China"
,"Jiangsu Jianzhu Inst, Coll Construct Management, Xuzhou, Jiangsu, Peoples R China"
,"Jiangsu Jianzhu Inst, Coll Min & Transportat Engn, Xuzhou 221116, Peoples R China"
,"Jiangsu Key Lab. Chem. Low-dimensional Mater., Sch. Chem. Chem. Eng., Huaiyin Normal Univ., Huaian, Jiangsu, China ;"
,"Jiangsu Key laboratory of Translational research and Therapy for Neuro-Psycho-Diseases, Department of Pharmacology, college of Pharmaceutical sciences, Suzhou, China ;"
,"Jiangsu Maritime Inst, Coll Elect Engn & Automat, 309 Gezhi Rd, Nanjing, Jiangsu, Peoples R China"
,"Jiangsu Nomal Univ, Xuzhou, Jiangsu, Peoples R China
;"
,"Jiangsu Normal University (Xuzhou), School of Mechanical and Electrical Engineering, Xuzhou city, Jiangsu, China ;"
,"Jiangsu Normal University (Xuzhou), School of Mechanical and oElectrical Engineering, Xuzhou city, Jiangsu, China ;"
,"Jiangsu Prov Hosp, Collaborat Innovat Ctr Canc Personalized Med, Nanjing 210029, Jiangsu, Peoples R China
;"
,"Jiangsu Provincal Collorat Innovat Ctr Climate Ch, Nanjing 210023, Jiangsu, Peoples R China
;"
,"Jiangsu Province Key Laboratory of Aerospace Power System, College of Energy and Power Engineering Nanjing, University of Aeronautics and Astronautics, Nanjing, China
;"
,"Jiangsu Province Key Laboratory of Aerospace Power System, College of Energy and Power Engineering, Nanjing, China
;"
,"Jiangsu Province Xuzhou Technician Institute, College of Rail Transit, Xuzhou, Jiangsu 221151, China
;"
,"Jiangsu Southeast University Testing and Inspection Technology Company, Nanjing, China
;"
,"Jiangsu Union Tech Inst, Coll Tradit Chinese Med, Lianyungang Branch, Lianyungang, Jiangsu, Peoples R China
;"
,"Jiangsu Union Tech Inst, Lianyungang Branch Coll Tradit Chinese Med, Lianyungang 222007, Jiangsu, Peoples R China"
,"Jiangsu Union Tech Inst, Lianyungang Branch, Coll Tradit Chinese Med, Lianyungang 222007, Jiangsu, Peoples R China
;"
,"Jiangsu Univ & Technol, Sch Environm & Chem Engn, Zhenjiang 212003, Peoples R China"
,"Jiangsu Univ JSU, SFE, Zhenjiang, Jiangsu, Peoples R China"
,"Jiangsu University of Technonlogy, Changzhou, Jiangsu 213001, China
;"
,"Jiangsu Worker Med Univ, Dept Pharm, Nanjing 211198, Jiangsu, Peoples R China
;"
,"Jiangsu Worker Med Univ, Dept Pharm, Nanjing 211198, Jiangsu, Peoples R China
;"
,"Jiangxi Agr Engn Coll, Zhangshu 331200, Peoples R China
;"
,"Jiangxi Agr Univ Jiangxi, Inst Vet Drug, Prov Key Lab Anim Hlth, Nanchang 330045, Jiangxi, Peoples R China
;"
,"Jiangxi Blue Sky Univ, Nanchang 330098, Peoples R China"
,"Jiangxi Canc Hosp, Collaborat Innovat Ctr Canc Med, Nanchang, Jiangxi, Peoples R China"
,"Jiangxi City University, Nanchang 330004, China ;"
,"Jiangxi Coll Construct, Dept Civil Engn, Nanchang 330200, Jiangxi, Peoples R China
;"
,"Jiangxi Coll Construct, Nanchang, Jiangxi, Peoples R China
;"
,"Jiangxi Coll Foreign Studies, Nanchang, Jiangxi, Peoples R China"
,"Jiangxi Coll Foreign Studies, Nanchang, Jiangxi, Peoples R China
;"
,"JiangXi Coll Tradit Chinese Med, Dept Basic Med, Fuzhou 344000, Fujian, Peoples R China"
,"Jiangxi Coll Tradit Chinese Med, Dept Med, Fuzhou 344000, Fujian, Peoples R China"
,"Jiangxi Coll Tradit Chinese Med, Fuzhou 344000, Fujian, Peoples R China"
,"Jiangxi College of Engineering, No.229, West Xianlai Avenue, Xinyu City, Jiangxi, China
;"
,"Jiangxi College of Engineering, Xinyu, 338029, China
;"
,"Jiangxi Collgeg of Applied Technology, Ganzhou, Jiangxi 341000, China
;"
,"Jiangxi Ind Polytech Coll, Basic Educ Dept, Qinshanhu Rd 1988, Nanchang, Jiangxi, Peoples R China
;"
,"Jiangxi Ind Polytech Coll, Sch Elect & Informat Engn, Nanchang 330099, Jiangxi, Peoples R China"
,"Jiangxi Ind Polytech Coll, Sch Elect & Informat Engn, Nanchang 330099, Jiangxi, Peoples R China
;"
,"Jiangxi Inst Technol, Collaborat Innovat Ctr Automobile Serv Engn & Ind, Nanchang 330098, Jiangxi, Peoples R China
;"
,"Jiangxi Inst Technol, Collaborat Innovat Ctr Automobile Serv Engn & Ind, Nanchang 33098, Jiangxi, Peoples R China
;"
,"Jiangxi Key Laboratory of Advanced Ceramic Materials, Department of Material Science and Engineering, Jingdezhen Ceramic University, Jingdezhen, Jiangxi 333001, China
;"
,"Jiangxi Modern Polytech Coll, 338 Ziyang Rd, Nanchang 330095, Jiangxi, Peoples R China
;"
,"JiangXi Modern Polytech Coll, Nanchang 330029, Jiangxi, Peoples R China
;"
,"Jiangxi Modern Polytech Coll, Nanchang 330046, Jiangxi, Peoples R China
;"
,"Jiangxi Modern Polytech Coll, Nanchang 330095, Peoples R China"
,"Jiangxi Modern Polytech Coll, Sch Architecture Engn, Nanchang 330095, Jiangxi, Peoples R China
;"
,"Jiangxi Modern Polytech Coll, Sch Informat Engn, Nanchang 330095, Jiangxi, Peoples R China
;"
,"Jiangxi Modern Polytech Coll, Sch Mech Engn, Nanchang 330095, Peoples R China"
,"Jiangxi Normal Coll, Coll Math & Informat Technol, Yingtan 335000, Peoples R China
;"
,"Jiangxi Normal Coll, Dept Applicat Engn, Yingtan 335000, Peoples R China"
,"Jiangxi Normal Univ Natl Sci Pk, Nanchang 330027, Peoples R China"
,"Jiangxi Nursing Occupat Technol Coll, Nanchang, Peoples R China"
,"Jiangxi Prov Colleges & Univ, High Level Engn Res Ctr Biopharmaceut Mol & Diagn, Nanchang 330013, Jiangxi, Peoples R China"
,"Jiangxi Prov Colleges & Univ, High Level Engn Res Ctr Biopharmaceut Mol & Diagn, Nanchang 330013, Jiangxi, Peoples R China"
,"Jiangxi Province Key Laboratory of Polymer Preparation and Processing, Shangrao Normal College, Shangrao, 334001, China
;"
,"Jiangxi Sci & Technol Normal Coll, Key Lab Opt Elect & Commun, Nanchang 330038, Jiangxi, Peoples R China"
,"Jiangxi Sci & Technol Normarl Univ, Jiangxi Key Lab Organ Chem, Nanchang 330013, Peoples R China"
,"Jiangxi Sci & Technologe Normal Univ, Jiangxi Key Lab Organ Chem, Nanchang 330013, Peoples R China"
,"Jiangxi Sci & Technologe Normal Univ, Jiangxi Key Lab Organ Chem, Nanchang 330013, Peoples R China"
,"Jiangxi Sci & Technologe Normal Univ, Jiangxi Key Lab Organ Chem, Nanchang 330013, Peoples R China"
,"Jiangxi Shangrao Normal Coll, Sch Chem & Environm Sci, Shangrao, Peoples R China"
,"Jiangxi Teachers Coll, Sch Math & Informat Technol, Yingtan, Peoples R China
;"
,"Jiangxi Tech Coll Mfg, Dept Mech Engn, Nanchang 330095, Jiangxi, Peoples R China
;"
,"Jiangxi Tech Coll Mfg, Nanchang 330095, Jiangxi, Peoples R China
;"
,"JiangXi Technol Univ, Dept Comp, Nanchang, Jiangxi, Peoples R China"
,"Jiangxi Tellhow Animat Coll, Dept Intelligent Sci & Technol, 1888 Jinsha 2nd Rd, Nanchang, Jiangxi, Peoples R China
;"
,"Jiangxi Univ Appl Sci, Dept Mech & Elect Informat Engn, Nanchang 330100, Peoples R China
;"
,"Jiangxi V and T College of Communication ,  Nan Chang"
,"Jiangxi v and T College of Communication, Nanchang"
,"Jiangxi V&T Coll Commun, Dept Architectural Engn, Nanchang 330013, Jiangxi, Peoples R China
;"
,"Jiangxi V&T Coll Commun, Dept Architectural Engn, Nanchang, Jiangxi, Peoples R China
;"
,"Jiangxi V&T Coll Commun, Nanchang 330013, Peoples R China"
,"Jiannan Univ, Sch Biotechnol, Key Lab Ind Biotechnol, Minist Educ, Wuxi 214122, Peoples R China
;"
,"Jiao Zuo Teachers Coll, Jiaozuo 454001, Peoples R China
;"
,"Jiaozuo Coll, Inst Chem & Environm Engn, Jiaozuo 454000, Peoples R China
;"
,"Jiaozuo Hlth Coll, Dept Ophthalmol, Jiaozuo, Henan, Peoples R China"
,"JiaoZuo Normal Coll, Jiaozuo 454001, Henan, Peoples R China
;"
,"JiaoZuo Normal Coll, Jiaozuo 454001, Peoples R China
;"
,"Jiaozzto Teachers Coll, Sch Technol, Jiaozuo 454001, Peoples R China"
,"Jiatignan Univ, Sch Internet Things Engn, Minist Educ, Engn Res Ctr Internet Things Technol Applicat, Wuxi 214122, Jiangsu, Peoples R China
;"
,"Jihn Univ, Coll Elect Sci & Engn, State Key Lab Integrated Optoelect, 2699 Qianjin St, Changchun 130012, Jilin, Peoples R China
;"
,"Jil Univ, Coll Chem, Changchun 130026, Jilin, Peoples R China
;"
,"JiLi Univ, Dept Gen Surg, Hosp 4, Changchun 130000, Peoples R China"
,"Jilian Jianzhu Univ, Sch Mat Sci & Engn, Changchun 130118, Peoples R China
;"
,"Jilian Jianzhu Univ, Sch Municipal & Environm Engn, Changchun 130118, Peoples R China
;"
,"Jilin Agr & Technol Univ, Sch Food Engn, 77 Hanlin Rd, Jilin 132000, Jilin, Peoples R China
;"
,"Jilin Agr Univ Lib, Changchun 130118, Peoples R China"
,"Jilin Architecture Coll Architecture & Planning, Beijing, Peoples R China"
,"Jilin Architecture Univ, Changchun, Jilin, Peoples R China"
,"Jilin Architecture Univ, Coll Surveying & Prospecting Engn, Changchun 130026, Jilin, Peoples R China"
,"Jilin Architecture University, Changchun, 130118, China
;"
,"Jilin Coll Agr Sci & Technol, Coll Agron, Jilin, Jilin, Peoples R China
;"
,"Jilin Coll Agr Sci & Technol, Coll Biol & Pharmaceut Engn, Jilin, Jilin, Peoples R China
;"
,"Jilin Coll Agr Sci & Technol, Coll Tradit Chinese Med, Jilin, Jilin, Peoples R China
;"
,"Jilin Coll Agr Sci & Technol, Sch Anim Sci, Changchun 132101, Jilin, Peoples R China
;"
,"Jilin Coll Elect Informat, Changchun, Jilin, Peoples R China"
,"Jilin College of Industry and Technology, Jilin, China;"
,"Jilin Construct Engn Coll, Inst Urban Construct, Changchun, Jilin, Peoples R China"
,"Jilin Construct Univ, Elect & Elect & Informat Engn Inst, Changchun 130021, Peoples R China"
,"Jilin Econ Management Cadre Coll, Inst Modern Agr, 429 Guigu St, Changchun 130012, Peoples R China"
,"Jilin Econ Management Cadre Coll, Inst Modern Agr, Changchun 130012, Peoples R China"
,"Jilin Electronic Information College, Institute of Mechanical and Electrical Technology, Jilin, Jilin, China ;"
,"Jilin Entry Exit Inspect & Quarantine Bur, Coll Technol Ctr, Changchun, Peoples R China"
,"Jilin Inst Chem Technol Res, Coll Mat Sci & Engn, Ctr Mat Sci & Engn, Jilin 132022, Jilin, Peoples R China
;"
,"Jilin Jianihu Univ, Civil Engn Coll, Changchun 130118, Jilin, Peoples R China"
,"Jilin Normal Ugnivers, Coll Phys, Siping 136000, Peoples R China
;"
,"Jilin Normoal Univ, Coll Environm Sci & Engn, 1301 Haifeng Rd, Siping 136000, Peoples R China
;"
,"Jilin Prov Econ Management Cadre Coll, Changchun 130012, Jilin, Peoples R China
;"
,"Jilin Prov Econ Management Cadre Coll, Changchun 133000, Jilin, Peoples R China
;"
,"Jilin Prov Econ Management Cadre Coll, Food Safety Inst Technol, Changchun 130012, Peoples R China"
,"Jilin Prov Econ Management Cadre Coll, Modern Agr Coll, Changchun 130012, Peoples R China"
,"Jilin Prov Econ Management Cadre Coll, Sch Culture & Tourism, Tianjin 130012, Peoples R China
;"
,"Jilin Prov Univ, Jilin Inst Chem Technol, Key Lab Special Funct Mat, 45 Chengde St, Jilin 132022, Jilin, Peoples R China"
,"Jilin Prov Univ, Jilin Inst Chem Technol, Key Lab Special Funct Mat, Jilin 132022, Jilin, Peoples R China"
,"Jilin Provincial Key Laboratory of Animal Embryo Engineering, College of Animal Sciences, Changchun, Jilin, China
;"
,"Jilin Teathers Inst Engn & Technol, Coll Informat Engn, Changchun 130052, Peoples R China"
,"Jilin Teathers Inst Engn & Technol, Coll Informat Engn, Changchun 130052, Peoples R China"
,"Jilin Teathers Inst Engn Technol, Coll Informat Engn, Changchun 130052, Peoples R China"
,"Jilin Technol Coll Elect Informat, Dept Comp Engn, Jilin 132021, Jilin Province, Peoples R China"
,"Jilin Technol Coll Elect Informat, Dept Informat Technol, Jilin 132021, Peoples R China"
,"Jilin Technol Coll Elect Informat, Informat Technol Acad, Jilin 132021, Jilin, Peoples R China"
,"Jilin Technol Coll Elect Informat, Inst Mech & Elect Technol, Jilin, Peoples R China"
,"JiLin Technol Coll Elect Informat, Jilin, Jilin Province, Peoples R China"
,"Jilin Univ 1st Hosipital, Changchun, Peoples R China"
,"Jilin Univ Architecture & Technol, Dept Acad Affairs, Changchun 130114, Jilin, Peoples R China"
,"Jilin Univ Architecture, Coll Grad, Changchun, Jilin, Peoples R China
;"
,"Jilin Univ China, Sch Nursing, Changchun, Jilin, Peoples R China"
,"Jilin Univ JLU, Coll Comp Sci & Technol, 2699 Qianjin St, Changchun, Jilin, Peoples R China
;"
,"Jilin Univ NanLing, Dept Control Sci & Engn, Changchun 130025, Jilin, Peoples R China
;"
,"Jilin Univ NanLing, State Key Lab Automot Simulat & Control, Changchun 130025, Jilin, Peoples R China
;"
,"Jilin University ,  Changchun"
,"Jilin University ,  Changchun"
,"Jilin University and FAW, China
;"
,"Jillin Univ, Coll Vet Med, Changchun, Jilin, Peoples R China
;"
,"Jilting Med Univ, Affiliated Hosp, Jining 272029, Shandong, Peoples R China
;"
,"Jilting Med Univ, Sch Mental Hlth, Dept Behav Med, Jining, Shandong, Peoples R China
;"
,"Jilting Med Univ, Sch Mental Hlth, Dept Clin Psychiat, Jining, Shandong, Peoples R China
;"
,"Jinal Univ, Coll Pharm, Inst New Drug Res, Guangzhou 510632, Guangdong, Peoples R China
;"
,"Jinan Presch Educ Coll, Dept Math, Jinan 250307, Peoples R China"
,"Jinan Presch Educ Coll, Dept Primary Educ, Jinan, Shandong, Peoples R China
;"
,"Jinan Presch Educ Coll, Primary Educ Dept, Jinan 250307, Shandong, Peoples R China
;"
,"Jinan Presch Educ Coll, Primary Educ Dept, Jinan 250307, Shandong, Peoples R China
;"
,"Jinan Preschool Educ Coll, Inst Presch Educ, Jinan, Shandong, Peoples R China
;"
,"Jinan Tech Coll, Jinan 250032, Peoples R China"
,"Jinan Tech Coll, Jinan, Shandong, Peoples R China
;"
,"Jinan Tech Coll, Sch Informat Engn, Jinan, Shandong, Peoples R China"
,"Jinan Technician Coll, Jinan 250115, Shandong, Peoples R China
;"
,"Jinan Technician Coll, Jinan 2660520, Shandong, Peoples R China
;"
,"Jinan Technician Coll, Jinan, Shandong, Peoples R China"
,"Jinchuan Group Lid., Hehei United University, Jinchang Gansu, 737104, China
;"
,"Jincm Univ, Coll Pharm, Guangzhou 510632, Guangdong, Peoples R China
;"
,"Jing Chu Univ Technol, Sch Mech Engn, Jingmen 448000, Peoples R China"
,"Jingchu Engn Univ Technol, Inst Elect & Informat Engn, Jingmen, Peoples R China"
,"Jingde Zhen Univ, Jingde Zhen 333000, Peoples R China"
,"Jingdezhen Comprehens Coll, Jingdezhen 333000, Jiangxi, Peoples R China"
,"Jingling Inst Technol, Coll Anim Sci & Technol, Nanjing, Jiangsu, Peoples R China"
,"Jingling Inst Technol, Coll Cyber Secur, Nanjing 211100, Jiangsu, Peoples R China"
,"Jingling Inst Technol, Coll Hort & Landscape Architecture, Nanjing, Jiangsu, Peoples R China"
,"Jingling Inst Technol, Coll Internet & Commun, Nanjing 211100, Jiangsu, Peoples R China"
,"Jingsu Normal Univ, Sch Math & Stat, Xuzhou 221116, Jiangsu, Peoples R China"
,"Jingzhou Peoples Hosp 1, First Clin Med Coll, Jingzhou, Hubei, Peoples R China
;"
,"Jinhua Coll Profess & Technol, Coll Med, Jinhua 321007, Zhejiang, Peoples R China
;"
,"Jinhua Coll Profess & Technol, Dept Agr & Bioengn, Jinhua 321007, Peoples R China"
,"Jinhua Coll Profess & Technol, Jinhua 321004, Zhejiang, Peoples R China"
,"Jinhua Coll Profess & Technol, Jinhua 321017, Peoples R China"
,"Jinhua Coll Profess & Technol, Sch Mech & Elect Engn, Jinhua 321007, Peoples R China
;"
,"Jinhua College of Profession and Technology, Jinhua, 321017, China
;"
,"Jinhua College of Profession and Technology, Jinhua, China ;"
,"JinHua Educ Coll, Jinhua 321000, Peoples R China"
,"Jinhua Occupat Tech Coll, Sch Med, Jinhua 321007, Zhejiang, Peoples R China"
,"Jining Normal Coll, Dept Comp, Jining 012000, Peoples R China"
,"Jining Normal Univ Network Certer, Jining 012000, Shandong, Peoples R China
;"
,"Jining Normal University, Wulanchabu"
,"Jining Tech Coll, Jining 272000, Peoples R China
;"
,"Jining Technician Coll, Jining 272000, Peoples R China
;"
,"Jining Technician College, Jining 272000, China ;"
,"Jining University, Qufu"
,"Jining University, Qufu"
,"Jinint Med Univ, Fdn Med Coll, Jining 272067, Shandong, Peoples R China
;"
,"Jinjiang Univ, Sch Informat Sci & Technol, JiuJiang 332005, Peoples R China
;"
,"Jinlin Business & Technol Coll, Informat Engn Sch, Changchun, Jilin, Peoples R China"
,"Jinlin Business & Technol Coll, Informat Engn Sch, Changchun, Jilin, Peoples R China"
,"Jinlin Business & Technol Coll, Jilin 130507, Peoples R China"
,"Jinlin Med Coll, Sch Publ Hlth, Jilin 132012, Jilin, Peoples R China
;"
,"Jinlin Med Univ, Sch Pharmaceut Sci, Jinlin 132013, Peoples R China"
,"Jinn Univ, Dept Chem, Guangzhou 510632, Guangdong, Peoples R China
;"
,"Jinn Univ, Peoples Hosp Dongguan 5, Dongguan Affiliated Hosp, Dept Cardiol,Med Coll,Taiping Peoples Hosp Donggu, Dongguan 523905, Guandong, Peoples R China"
,"Jinni Univ, Guangzhou Overseas Chinese Hosp, Inst Clin Sci, Guangzhou, Guangdong, Peoples R China"
,"Jinzhou Normal Coll, Dept Chem & Environm Sci, 189 Songpo Rd, Jinzhou City 121000, Liaoning, Peoples R China
;"
,"Jiujiang Coll, Dept Physiol, Jiujiang, Jiangxi, Peoples R China"
,"Jiujiang Coll, Sch Mech & Mat Engn, Jiujiang 332005, Peoples R China"
,"Jiujiang Coll, Tourism Sch, Jiujiang 332005, Peoples R China"
,"Jiujiang Coll, Tourism Sch, Jiujiang, Peoples R China"
,"Jiuquan Vacat & Tech Coll, Dept Chem Engn, Jiuquan 735009, Peoples R China"
,"Jiuquan Vacat & Tech Coll, Dept Chem Engn, Jiuquan 735009, Peoples R China
;"
,"Jixangxi Nornam Univ, Key Lab PoYang Lake Wetland & Watershed Res, Minist Educ, Nanchang 330022, Jiangxi, Peoples R China
;"
,"JJ Strossmayer Univ Osijek, Comp Sci & Informat Technol Osijek, Fac Elect Engn, K Trpimira 2B, Osijek 31000, Peoples R China
;"
,"Jlin Technol Coll Elect Informat, Jilin 132021, Peoples R China"
,"Johannes Kepler Univ Linz, *, *, *"
,"Johns Hopkins Univ SAIS, Hopkins Nanjing Ctr, Nanjing, Jiangsu, Peoples R China"
,"Joint Inst Genet & Genom Med Zhejiang Univ & Univ, Hangzhou, Zhejiang, Peoples R China
;"
,"Josip Juraj Strossmayer Univ Osijek, Fac Food Technol Osijek, Franje Kuhaca 20, Osijek 31000, Peoples R China
;"
,"Journal Editorial Board, Jilin Univeristy, Changchun, 130012, China
;"
,"Journal Jilin Univ Engn & Technol Edit, Changchun 130022, Peoples R China"
,"Joy Noel-Weiss, RN, IBCLC, MScN, PhD, is an Assistant Professor in the School of Nursing, Faculty of Health Sciences, University of Ottawa, Ottawa, Ontario ;"
,"Jungwon Univ, Dept Elect & Elect Engn, Goesan Gun 367805, Chungbuk, Peoples R China
;"
,"Junior College of Zhejiang Wanli University, Ningbo, China
;"
,"Junior College Zhejiang Wanli University, Ningbo, Zhejiang, China
;"
,"JUST, Coll Mat Sci & Engn, Zhenjiang 212003, Jiangsu, Peoples R China
;"
,"Kadir Has University, Center for Energy and Sustainable Development (CESD), Cibali"
,"Kailuan General Hospital, Tangshan, China
[3] Tianjin Medical College, Tianjin, China
[4] Gansu Provincial Hospital, Gansu, China"
,"Kailuan General Hospital, Tangshan, Hebei, China
[3] Tianjin Medical College, Tianjin, China
[4] Tangshan Worker's Hospital, Tangshan, Hebei, China"
,"Kalashnikov Izhevsk state Technical University, Izhevsk"
,"Kanagawa Univ, Dept Architecture & Bldg Engn, Kanagawa Ku, 3-27-1 Rokkakubashi, Yokohama, Kanagawa 2218686, Peoples R China
;"
,"Kangda Coll, Dept Human Anat, Lianyungang, Peoples R China"
,"Kangding Normal Coll, Dept Math, Kangding 626001, Sichuan, Peoples R China"
,Kansas State University / Yachay Tech ;
,"Karakoram Int Univ, Ctr Res China Pakistan Econ Corridor, Gilgit 15100, Pakistan"
,"Karamay Univ Technol, Xinjiang 833600, Peoples R China"
,"Kashi Normal Coll, Dept Phys, Kashi 844006, Peoples R China"
,"Katholieke Univ Leuven, ChinaConduct Bvba, Karel Stoutestr 49, B-9000 Ghent, Belgium"
,"Katholieke Univ Leuven, Rega Inst Med Res, Herestr 49 Box 1043, B-3000 Leuven, Betgiwn
;"
,"Kazan National Research Technical University Named After A.N. Tupolev, Kazan, China;"
,"Kean Univ, Coll Business & Publ Management, Wenzhou, Peoples R China
;"
,"Kean Univ, Ouhai, Wenzhou, Peoples R China"
,"Kean Univ, Wenzhou Campus, Wenzhou, Peoples R China
;"
,"Kean Univ, Wenzhou, Peoples R China
;"
,"Kedagaoxin Univ, Int Educ Coll, Xian 710109, Shaanxi, Peoples R China"
,"Kedagaoxin Univ, Int Educ Coll, Xian 710109, Shaanxi, Peoples R China
;"
,"Keimyung Univ, Kidney Inst, Daegu, Peoples R China
;"
,"Keimyung Univ, Sch Environm Sci, Daegu 704701, Peoples R China
;"
,"Keimyung Univ, Sch Med, Dept Internal Med, Daegu, Peoples R China
;"
,"Keimyung Univ, Sch Med, Dongsan Med Ctr, Dept Ophthalmol, Daegu, Peoples R China
;"
,"Kelly G. Odenweller Communication Studies Program at Iowa State University.
;"
,"Key Disciplines State Adm Tradit Chinese Med Coll, Shijiazhuang 050000, Hebei, Peoples R China
;"
,"Key Engineering Bionics Laboratory of Jilin University Education Ministry, Changchun, China
;"
,"Key Engineering Bionics Laboratory of Jilin University Education Ministry, Changchun, China
;"
,"Key Lab Coll & Univ, Dept Educ Xinjiang, Alar 843300, Xinjiang, Peoples R China
;"
,"Key Lab Complex Syst & Intelligent Comp Univ Shan, Linyi 276000, Shandong, Peoples R China
;"
,"Key Lab Composite Modified Mat Coll Heilongjang P, Qiqihar 161006, Peoples R China"
,"Key Lab Composite Modified Mat Coll Heilongjang P, Qiqihar 161006, Peoples R China
;"
,"Key Lab Composite Modified Mat Coll Heilongjiang, Qiqihar 161006, Peoples R China"
,"Key Lab Ecol & Resources Stat Fujian Coll, Fuzhou 350002, Fujian, Peoples R China
;"
,"Key Lab Efficient & Clean Energy Utilizat Coll Hu, Changsha 410114, Hunan, Peoples R China"
,"Key Lab Environm Monitoring Univ Fujian Prov, Xiamen 361024, Peoples R China
;"
,"Key Lab Environm Protect Univ Guangxi, Nanning 530004, Peoples R China
;"
,"Key Lab Food Colloids & Biotechnol, Wuxi 214122, Jiangsu, Peoples R China"
,"Key Lab Food Colloids & Biotechnol, Wuxi 214122, Jiangsu, Peoples R China"
,"Key Lab Food Colloids & Biotechnol, Wuxi 214122, Jiangsu, Peoples R China
;"
,"Key Lab Food Colloids & Biotechnol, Wuxi 214122, Jiangsu, Peoples R China
;"
,"Key Lab Fujian Univ Ecol & Resource Stat, Fuzhou 350002, Fujian, Peoples R China
;"
,"Key Lab Green Catalysis & Chem React Engn Coll &, Xiangtan, Peoples R China
;"
,"Key Lab Green Catalysis & Chem React Engn Univ Hu, Changsha, Hunan, Peoples R China
;"
,"Key Lab Green Catalysis & Chem React Engn Univ Hu, Xiangtan, Peoples R China
;"
,"Key Lab Informat Secur & Intelligent Control Univ, Jinan 250103, Peoples R China"
,"Key Lab Informat Secur & Intelligent Control Univ, Jinan 250103, Peoples R China"
,"Key Lab Informat Secur & Intelligent Control Univ, Jinan 250103, Peoples R China
;"
,"Key Lab Informat Secur & Intelligent Control Univ, Jinan, Peoples R China"
,"Key Lab Intelligent Comp & Informat Secur Univ Sh, Jinan 250014, Shandong, Peoples R China
;"
,"Key Lab IOT Applicat Technol Univ Yunnan Prov, Kunming, Yunnan, Peoples R China
;"
,"Key Lab Jiangxi Univ Inorgan Membranes, Jingdezhen 333403, Jiangxi, Peoples R China"
,"Key Lab Jiangxi Univ Inorgan Membranes, Jingdezhen 333403, Peoples R China"
,"Key Lab Macromol Sci Shaanxi Prov, Minist Educ, Key Lab Appl Surface & Colloid Chem, Xian 710062, Peoples R China"
,"Key Lab Mat Corros & Protect Sichuan Coll & Univ, Zigong City 643000, Peoples R China"
