title,author
A Faint Cold Fear (Grant County Mysteries),Karin Slaughter
A Family Guide To Narnia: Biblical Truths in C.S. Lewis's The Chronicles of Narnia,Christin Ditchfield
A Farewell To Arms,Ernest Hemingway
A Farewell to Arms: The Hemingway Library Edition,Ernest Hemingway
"A Fatal Grace (Three Pines Mysteries, No. 2)",Louise Penny
A Feast of Snakes: A Novel,Harry Crews
A Free State: A Novel,Tom Piazza
A Funny Thing Happened to Me on My Way Through the Bible: A Collection of Humorous Sketches and Monologues Based on Familiar Bible Stories (Lillenas Drama Resources),Martha Bolton
A Garden of Marvels: Tales of Wonder from Early Medieval China,"Robert, Ford Campany"
A Gentle Creature and Other Stories: White Nights; A Gentle Creature; The Dream of a Ridiculous Man (Oxford World's Classics),Fyodor Dostoevsky
A German General on the Eastern Front: The Letters and Diaries of Gotthard Heinrici 1941-1942,Johanne Hurter
A Glossary of Literary Terms,M.H. Abrams
A Glossary of Literary Terms,M.H. Abrams
A Good Man Is Hard to Find and Other Stories,Flannery O'Connor
A Good Yarn (A Blossom Street Novel),Debbie Macomber
A Grain of Wheat (Penguin African Writers),Ngugi wa Thiong'o
"A Gravity's Rainbow Companion: Sources and Contexts for Pynchon's Novel, 2nd Edition",Steven Weisenburger
A Guide for the Perplexed: A Novel,Dara Horn
A Haiku Garden: Selections from the Everyday Photo Haiku Project,Patrick J Harris
A Haiku Perspective,Annette Rochelle Aben
A Handbook of Critical Approaches to Literature,Wilfred Guerin
A Handbook to Literature (12th Edition),William Harmon
A Handful of Dust,Evelyn Waugh
A Hanging at Cinder Bottom: A Novel,Glenn Taylor
"A Hard, Cruel Shore: An Alan Lewrie Naval Adventure (Alan Lewrie Naval Adventures)",Dewey Lambdin
A Heart's Betrayal (A Journey of the Heart),Colleen Coble
A Heart's Disguise (A Journey of the Heart),Colleen Coble
A Heart's Obsession (A Journey of the Heart),Colleen Coble
A Herzen Reader,Alexander Herzen
A High Wind in Jamaica (New York Review Books Classics),Richard Hughes
A History of Illuminated Manuscripts,Christopher De Hamel
A History of Old Norse Poetry and Poetics,Margaret Clunies Ross
A History of the English Speaking Peoples (4 Volume Set),Winston S. Churchill
A History of the Present Illness: Stories,Louise Aronson
A House Divided (A Reverend Curtis Black Novel),Kimberla Lawson Roby
A House of My Own: Stories from My Life,Sandra Cisneros
A Hustler's Wife (Urban Books),Nikki Turner
"A Jane Austen Education: How Six Novels Taught Me About Love, Friendship, and the Things That Really Matter",William Deresiewicz
"A Jesuit Off-Broadway: Behind the Scenes with Faith, Doubt, Forgiveness, and More",James Martin SJ
A Jewish Spirit in the Wild: Stories of Jewish life in South Africa from the late 19th century to 1979,Abraham Rosen
A Journal of the Plague Year (Dover Thrift Editions),Daniel Defoe
A Journey to the End of the Millennium - A Novel of the Middle Ages,A. B. Yehoshua
A King's Ransom: A Novel,Sharon Kay Penman
A Lesson in Hope: A Novel,Philip Gulley
A King's Trade: An Alan Lewrie Naval Adventure (Alan Lewrie Naval Adventures),Dewey Lambdin
A Kiss Remembered,Sandra Brown
A Legacy (New York Review Books Classics),Sybille Bedford
A Lesson Before Dying (Oprah's Book Club),Ernest J. Gaines
"A Lick of Frost (Meredith Gentry, Book 6)",Laurell K. Hamilton
A Life in Letters (Penguin Classics),Anton Chekhov
A Light in the Wilderness: A Novel,Jane Kirkpatrick
A Lineage of Grace: Five Stories of Unlikely Women Who Changed Eternity,Francine Rivers
A Little Life: A Novel,Hanya Yanagihara
A Little Tour through European Poetry,John Taylor
A Man Called Ove: A Novel,Fredrik Backman
A Man for All Seasons: A Play in Two Acts,Robert Bolt
A Man of the People,Chinua Achebe
A Man Without a Country,Kurt Vonnegut
A Man's Worth (Urban Christian),Nikita Lynnette Nichols
A Manual for Cleaning Women: Selected Stories,Lucia Berlin
A Map of Betrayal: A Novel (Vintage International),Ha Jin
A Matter of Heart (Lone Star Brides) (Volume 3),Tracie Peterson
A Memory of Violets: A Novel of London's Flower Sellers,Hazel Gaynor
A Mercy,Toni Morrison
A Midsummer Night's Dream,William Shakespeare
A Midsummer Night's Dream,William Shakespeare
A Midsummer Night's Dream (Barnes & Noble Shakespeare),William Shakespeare
A Midsummer Night's Dream (Calla Editions),William Shakespeare
A Midsummer Night's Dream (Cambridge School Shakespeare),Rex Gibson
A Midsummer Night's Dream (Folger Shakespeare Library),William Shakespeare
A Midsummer Night's Dream (Shakespeare Made Easy),William Shakespeare
A Midsummer Night's Dream (The Pelican Shakespeare),William Shakespeare
A Midsummer Night's Dream for Kids (Shakespeare Can Be Fun!),Lois Burdett
A Midsummer Night's Dream The Graphic Novel: Original Text (Shakespeare Range),William Shakespeare
A Midsummer Night's Dream: Sixty-Minute Shakespeare Series,Cass Foster
A Midsummer Night's Dream: The Oxford Shakespeare,William Shakespeare
"A Million Guilty Pleasures: Million Dollar Duet, Book 2",C. L. Parker
A Mind at Peace,Ahmet Hamdi Tanpinar
A Mind Awake: An Anthology of C. S. Lewis,C. S. Lewis
A Modern Grammar for Biblical Hebrew Workbook,Duane A. Garrett
"A Modern Witch: A Modern Witch, Book 1",Debora Geary
A Modest Proposal and Other Satirical Works (Dover Thrift Editions),Jonathan Swift
A Moment in Time (Lone Star Brides) (Volume 2),Tracie Peterson
A Month in the Country (New York Review Books Classics),J.L. Carr
A Mother's Kisses: A Novel,Bruce Jay Friedman
A Naked Tree: Love Sonnets to C. S. Lewis and Other Poems,Joy Davidman
"A Narrative of a Revolutionary Soldier: Some Adventures, Dangers, and Sufferings of Joseph Plumb Martin (Signet Classics)",Joseph Plumb Martin
A Nasty Bit of Rough: A Novel,David Feherty
A Number,Caryl Churchill
A Pale View of Hills,Kazuo Ishiguro
A Perfect Crime,A Yi
A Perfect Life: A Novel,Danielle Steel
A Perfect Life: A Novel (Random House Large Print),Danielle Steel
A Philosophical Walking Tour with C.S. Lewis: Why It Did Not Include Rome,Stewart Goetz
A Place Where the Sea Remembers and Related Readings (Literature connections),Sandra Benitez
A Pledge of Silence,Flora J. Solomon
A Poet of the Invisible World: A Novel,Michael Golding
A Poetry Handbook,Mary Oliver
A Portrait of the Artist As a Young Man,James Joyce
A Portrait of the Artist as a Young Man (Penguin Classics),James Joyce
A Possibility of Violence: A Novel,D. A. Mishani
A Prayer for Owen Meany: A Novel,John Irving
A Private Revenge,Richard Woodman
A Promise Kept,Robin Lee Hatcher
A Question of Death: An Illustrated Phryne Fisher Anthology,Kerry Greenwood
"A Question of Mercy: A Play Based on the Essay by Richard Selzer (Rabe, David)",David Rabe
A Question of Proof,Joseph Amiel
A Quilter's Holiday: An Elm Creek Quilts Novel (The Elm Creek Quilts),Jennifer Chiaverini
A Rag Doll's Heart,Maggie Simmons
A Raisin in the Sun,Lorraine Hansberry
A Raisin In The Sun: And Related Readings,Lorraine Hansberry
A Raisin in the Sun: with Connections (HRW Library),Lorraine Hansberry
A Redbird Christmas: A Novel,Fannie Flagg
A Remarkable Kindness: A Novel,Diana Bletter
A Replacement Life: A Novel (P.S.),Boris Fishman
A Reunion of Ghosts: A Novel,Judith Claire Mitchell
A Rhetoric for Writing Teachers,Erika Lindemann
A River Runs Through It,Norman Maclean
"A River Runs Through It and Other Stories, Twenty-fifth Anniversary Edition",Norman Maclean
"A Roman Army Reader: Twenty-One Selections from Literary, Epigraphic, and Other Documents (Bc Latin Readers)",Dexter Hoyos
A Room of One's Own,Virginia Woolf
A Room of One's Own (Annotated),Virginia Woolf
"A Sailor of Austria: In Which, Without Really Intending to, Otto Prohaska Becomes Official War Hero No. 27 of the Habsburg Empire (The Otto Prohaska Novels)",John Biggins
A Sand County Almanac and Sketches Here and There,Aldo Leopold
A Sand County Almanac: And Sketches Here and There (Outdoor Essays & Reflections),Aldo Leopold
A Science Fiction Cookbook: And Guide to Edible Niceties,Nicole Lynn Roach
"A Scots Quair: Sunset Song, Cloud Howe, Grey Granite",Lewis Grassic Gibbon
"A Sea of Words, Third Edition: A Lexicon and Companion to the Complete Seafaring Tales of Patrick O'Brian",Dean King
A Second Daniel (In the Den of the English Lion) (Volume 1),Neal Roberts
A Second Helping: A Blessings Novel (Blessings Series),Beverly Jenkins
A Sentimental Journey: Sentimental Journey: Memoirs 1917-1922 (Russian Literature Series),Viktor Shklovsky
A Separate Peace,John Knowles
A Short History of Ancient Greece (I.B. Tauris Short Histories),P. J. Rhodes
A Short History of Indians in Canada: Stories,Thomas King
A Short History of Tractors in Ukrainian,Marina Lewycka
A Single Man: A Novel (FSG Classics),Christopher Isherwood
A Single Thread (Cobbled Court Quilts),Marie Bostwick
A Skeleton Key to Finnegans Wake: Unlocking James Joyce's Masterwork (The Collected Works of Joseph Campbell),Joseph Campbell
A Sky Without Eagles,Jack Donovan
A Slip of the Keyboard: Collected Nonfiction,Terry Pratchett
A Small Greek World: Networks in the Ancient Mediterranean (Greeks Overseas),Irad Malkin
A Small Story about the Sky,Alberto Ros
A Soft Place to Land: A Novel,Susan Rebecca White
A Soldier's Play (Dramabook),Charles Fuller
"A Solemn Pleasure: To Imagine, Witness, and Write (The Art of the Essay)",Melissa Pritchard
A Southern Girl: A Novel (Story River Books),John Warley
A Spear of Summer Grass,Deanna Raybourn
A Spool of Blue Thread: A novel,Anne Tyler
A Sportsman's Notebook (Everyman's Library),Ivan Turgenev
A Spot of Bother,Mark Haddon
"A Storm of Swords (A Song of Ice and Fire, Book 3)",George R. R. Martin
A Story as Sharp as a Knife: The Classical Haida Mythtellers and Their World (Masterworks of the Classical Haida Mythtellers),Robert Bringhurst
A Strangeness in My Mind: A novel,Orhan Pamuk
A Streetcar Named Desire.,Tennessee Williams
A Suitable Boy: A Novel,Vikram Seth
A Suitable Boy: A Novel (Modern Classics),Vikram Seth
A Tale of three Kings: A Study in Brokenness,Gene Edwards
A Taste for Chaos: The Art of Literary Improvisation,Randy Fertel
A Taste of Honey: Stories,Jabari Asim
A Texas Hill Country Christmas,William W. Johnstone
A Theatre of Envy,Rene Girard
A Thousand Mornings: Poems,Mary Oliver
A Thousand Pardons: A Novel,Jonathan Dee
A Thousand Splendid Suns,Khaled Hosseini
A Thread of Truth (Cobbled Court Quilts),Marie Bostwick
A Thread So Thin (Cobbled Court Quilts),Marie Bostwick
A Timeshare,Margaret Ross
A Town Called Valentine: A Valentine Valley Novel,Emma Cane
A Traveled First Lady: Writings of Louisa Catherine Adams,Louisa Catherine Adams
A Treacherous Paradise,Henning Mankell
"A Treasury of Irish Myth, Legend & Folklore (Fairy and Folk Tales of the Irish Peasantry / Cuchulain of Muirthemne)",Isabella Augusta Gregory
A Treasury of Jewish Folklore,Nathan Ausubel
A Tree Grows in Brooklyn (Modern Classics),Betty Smith
A Trip to the Stars: A Novel,Nicholas Christopher
"A True History of the Three Brave Indian Spies, John Cherry, Andrew and Adam Poe, Who Wiped Out Big Foot and His Two Brothers, Styled Sons of the Half King (Classic Reprint)",A. W. Poe
A Turn in the Road (A Blossom Street Novel),Debbie Macomber
A Vaquero of the Brush Country: The Life and Times of John D. Young,John D. Young
A View From the Bridge.,Arthur Miller
A View From the Pew: A Collection of Sketches and Monologues About Church Life- From the Potluck to the Bored Meeting,Martha Bolton
A Vintage Affair: A Novel (Random House Reader's Circle),Isabel Wolff
A Vision: The Revised 1937 Edition: The Collected Works of W.B. Yeats Volume XIV,William Butler Yeats
A Voice Full of Cities: The Collected Essays of Robert Kelly,Robert Kelly
A Voyage for Madmen,Peter Nichols
A Waka Anthology - Volume Two: Grasses of Remembrance (Parts A & B) (v. 2),Edwin A. Cranston
A Week in Winter,Maeve Binchy
A White Tea Bowl: 100 Haiku from 100 Years of Life,Mitsu Suzuki
A Wife's Betrayal,Miss KP
A Wild Swan: And Other Tales,Michael Cunningham
A Wilder Rose: A Novel,Susan Wittig Albert
A Window Opens: A Novel,Elisabeth Egan
A Winter Dream: A Novel,Richard Paul Evans
A Woman of Substance (Harte Family Saga),Barbara Taylor Bradford
A World Lit Only by Fire: The Medieval Mind and the Renaissance: Portrait of an Age,William Manchester
A Worthy Pursuit,Karen Witemeyer
"A Writer at War: A Soviet Journalist with the Red Army, 1941-1945",Vasily Grossman
A Writer's Diary,Fyodor Dostoevsky
A Year in the Life of William Shakespeare: 1599,James Shapiro
A Year on Ladybug Farm,Donna Ball
A Year with C. S. Lewis: Daily Readings from His Classic Works,C. S. Lewis
A Year with Hafiz: Daily Contemplations,Hafiz
A Year with Rilke: Daily Readings from the Best of Rainer Maria Rilke,Anita Barrows
A Year with Rumi: Daily Readings,Coleman Barks
A Yellow Raft in Blue Water: A Novel,Michael Dorris
A.C. Swinburne and the Singing Word,Yisrael Levin
A.D. 30: A Novel,Ted Dekker
A.D. 33: A Novel,Ted Dekker
Abandoned Secrets,Toni Larue
Abandoned: Three Short Stories,Jim Heskett
Abelard and Heloise: The Letters and Other Writings (Hackett Classics),Abelard
Abigail Adams: Letters: Library of America #275 (The Library of America),Abigail Adams
Abingdon's Speeches &  Recitations for Young Children,Abingdon Press
About Love and Other Stories (Oxford World's Classics),Anton Chekhov
Above the Waterfall: A Novel,Ron Rash
Abraham and Sarah: History's Most Fascinating Story of Faith and Love,J. SerVaas Williams
Abraham Lincoln (Classic Reprint),Wilbur Fisk Gordy
Abraham Lincoln: Great Speeches (Dover Thrift Editions),Abraham Lincoln
Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith
Absurdistan: A Novel,Gary Shteyngart
Abundant Rain (Urban Christian),Vanessa Miller
Across a Hundred Mountains: A Novel,Reyna Grande
Across Five Aprils,Irene Hunt
Acting in Restoration Comedy (Applause Acting Series),Maria Aitken
Acting Scenes & Monologues For Kids!: Original Scenes and Monologues Combined Into One Very Special Book!,Bo Kane
Acting Scenes And Monologues For Young Teens: Original Scenes and Monologues Combined Into One Book,Bo Kane
Acting Up in Church: Humorous Sketches for Worship Services,M. K. Boyle
Acts of Betrayal (Urban Books),Tracie Loveless-Hill
"Acts of Intervention: Performance, Gay Culture, and AIDS (Unnatural Acts: Theorizing the Performative)",David Roman
"Ada, or Ardor: A Family Chronicle",Vladimir Nabokov
Adaptation and Appropriation (The New Critical Idiom),Julie Sanders
ADAPTED CLASSICS MACBETH SE 96C. (Globe Adapted Classics),GLOBE
Addicted to Drama,Pamala G Briscoe
Addiss: Haiga: Takebe Socho Pa,Stephen Addiss
Adios Hemingway,Leonardo Padura Fuentes
Admiral Hornblower in the West Indies (Hornblower Saga),C. S. Forester
Adolf Hitler and His Airship: An Alternate History: Adolf vs. the Canadians  Part 3 of the Hitler Chronicles,Victor Appleton
Adrienne Rich's Poetry and Prose (Norton Critical Editions),Adrienne Rich
Adulterio (Spanish Edition),Paulo Coelho
Adventures of Huckleberry Finn,Mark Twain
Adventures of Huckleberry Finn,Mark Twain
Adventures of Huckleberry Finn (Third Edition)  (Norton Critical Editions),Mark Twain
Adventures of Huckleberry Finn: and Related Readings (Literature Connections),MCDOUGAL LITTEL
Advice to Little Girls,Mark Twain
Aeneid (Hackett Classics),P. Vergilius Maro
Aeneid (Oxford World's Classics),Virgil
Aeschyli Persae (Latin Edition),Aeschylus
Aeschyli persae ad fidem manusciptorum,Aeschylus
Aeschyli Persae: Ad Fidem Manuscriptorum (1826) (Latin Edition),Aeschylus
Aeschyli Tragoediae Quae Supersunt: Persae,Aeschylus
"Aeschylus I: Oresteia: Agamemnon, The Libation Bearers, The Eumenides (The Complete Greek Tragedies) (Vol 1)",Aeschylus
"Aeschylus I: The Persians, The Seven Against Thebes, The Suppliant Maidens, Prometheus Bound (The Complete Greek Tragedies)",Aeschylus
Aeschylus II: The Oresteia (The Complete Greek Tragedies),Aeschylus
"Aeschylus, I, Persians. Seven against Thebes. Suppliants. Prometheus Bound (Loeb Classical Library)",Aeschylus
"Aeschylus, II, Oresteia: Agamemnon. Libation-Bearers. Eumenides (Loeb Classical Library)",Aeschylus
Aeschylus: Agamemnon (Cambridge Translations from Greek Drama),Aeschylus
Aesop's Fables (Word Cloud Classics),Aesop
Aesop's Fables: A Pop-Up Book of Classic Tales,Kees Moerbeek
Aesthetics: Lectures And Essays,Edward Bullough
"Affairytale, A Memoir",C.J. English
Affirming: Letters 1975-1997,Isaiah Berlin
Affrilachia: Poems by Frank X Walker,Frank X Walker
African Ceremonies: The Concise Edition,Carol Beckwith
"African Narratives of Orishas, Spirits and Other Deities - Stories from West Africa and the African Diaspora: A Journey Into the Realm of Deities, SPI",Alex Cuoco
"Afrodita: Cuentos, Recetas y Otros Afrodisiacos",Isabel Allende
After Abel and Other Stories,Michal Lemberger
"After Antiquity: Greek Language, Myth, and Metaphor (Myth and Poetics)",Margaret Alexiou
After Birth,Elisa Albert
After I Do: A Novel,Taylor Jenkins Reid
After Many a Summer Dies the Swan,Aldous Huxley
After the Circus: A Novel (The Margellos World Republic of Letters),Patrick Modiano
After the Parade: A Novel,Lori Ostlund
Again to Carthage: A Novel,John L. Parker Jr.
Against Interpretation: And Other Essays,Susan Sontag
Age of Arousal,Linda Griffiths
Age of Fools,William A Cook
Agnes of God,John Pielmeier
Ahmed the Philosopher: Thirty-Four Short Plays for Children and Everyone Else,Alain Badiou
Aias (Greek Tragedy in New Translations),Sophocles
Aischylos Agamemnon (1885),Aeschylus
Ajax: With Notes Critical and Explanatory,Sophocles
"Akiane: Her Life, Her Art, Her Poetry",Akiane Kramarik
Ak: The Years of Childhood,Wole Soyinka
Albion's Seed: Four British Folkways in America (America: a cultural history),David Hackett Fischer
Alburquerque: A Novel,Rudolfo Anaya
Alcestis,Euripides Euripides
Alcestis,"John Hampden Haydon, Amy M, Euripides, William Sheldon Hadley"
Alcestis,Richard (trans) EURIPIDES / ALDINGTON
Aleph (Espaol) (Spanish Edition),Paulo Coelho
Aleph (Vintage International),Paulo Coelho
Alex Cross's Trial,James Patterson
Alexandrian Summer,Yitzhak Gormezano Goren
Alibi: A Novel,Joseph Kanon
Alice I Have Been: A Novel (Random House Reader's Circle),Melanie Benjamin
Alice in Plunderland,Steve McCaffery
Alice in Tumblr-land: And Other Fairy Tales for a New Generation,Tim Manley
Alice in Wonderland (Third Edition)  (Norton Critical Editions),Lewis Carroll
Alice's Adventures in Wonderland,Lewis Carroll
Alice's Adventures in Wonderland & Through the Looking-Glass (Bantam Classics),Lewis Carroll
Alice's Adventures in Wonderland and Through the Looking-Glass (Penguin Classics),Lewis Carroll
Alice's Adventures in Wonderland and Through the Looking-Glass: 150th-Anniversary Edition (Penguin Classics Deluxe Edition),Lewis Carroll
Alice's Adventures in Wonderland Decoded: The Full Text of Lewis Carroll's Novel with its Many Hidden Meanings Revealed,David Day
"Alinor, la Reine aux deux couronnes (French Edition)",Eric Brown
All Art Is Propaganda,George Orwell
All Backs Were Turned (Rebel Lit),Marek Hlasko
All Fall Down: A Novel,Jennifer Weiner
All He Ever Desired (The Kowalskis),Shannon Stacey
All I Love and Know: A Novel,Judith Frank
"All in the Timing, Six One-Act Comedies - Acting Edition",David Ives
All in the Timing: Fourteen Plays,David Ives
All Involved: A Novel,Ryan Gattis
All My Friends Are Still Dead,Jory John
All My Puny Sorrows,Miriam Toews
All My Sons (Penguin Classics),Arthur Miller
All Other Nights: A Novel,Dara Horn
All Our Happy Days Are Stupid,Sheila Heti
All Our Names,Dinaw Mengestu
All Quiet on the Western Front,Erich Maria Remarque
All She Ever Wanted,Lynn Austin
All That Followed: A Novel,Gabriel Urza
All That Glitters,Thomas Tryon
All That Is: A Novel (Vintage International),James Salter
"All That You've Seen Here Is God: New Versions of Four Greek Tragedies Sophocles' Ajax, Philoctetes, Women of Trachis; Aeschylus' Prometheus Bound (Vintage Original)",Sophocles
All the Best: My Life in Letters and Other Writings,George H.W. Bush
All the Brave Fellows (Revolution at Sea Saga #5),James L. Nelson
All the Greek Verbs (Greek Language),N. Marinone
"All the Pretty Horses (The Border Trilogy, Book 1)",Cormac McCarthy
All the Rage: A Quest,Martin Moran
All the Single Ladies: A Novel,Dorothea Benton Frank
All the Stars in the Heavens: A Novel,Adriana Trigiani
"All The Wild That Remains: Edward Abbey, Wallace Stegner, and the American West",David Gessner
All the World,Liz Garton Scanlon
All Things New,Lynn Austin
All Year Long!: Funny Readers Theatre for Life's Special Times,Diana R. Jenkins
All's Well that Ends Well: The Oxford Shakespeare (Oxford World's Classics),William Shakespeare
Allen and Greenough's New Latin Grammar (Dover Language Guides),James B Greenough
Allusion and Intertext: Dynamics of Appropriation in Roman Poetry (Roman Literature and its Contexts),Stephen Hinds
Almanac of the Dead,Leslie Marmon Silko
Almost Famous Women: Stories,Megan Mayhew Bergman
"Almost, Maine",John Cariani
Alone with the Horrors: The Great Short Fiction of Ramsey Campbell 1961-1991,Ramsey Campbell
Already Home,Susan Mallery
Altar of Eden,James Rollins
Altneuland: The Old-New-Land,Theodor Herzl
Always Coca-Cola,Alexandra Chreiteh
Ama: A Story of the Atlantic Slave Trade,Manu Herbstein
Ambition and Survival: Becoming a Poet,Christian Wiman
America Deceived III: Department of Homeland Security Warning: Possession of this novel may result in a targeted drone strike,E.A. Blayre III
American Dervish: A Novel,Ayad Akhtar
American Elsewhere,Robert Jackson Bennett
American Hero,Bess Wohl
"American Indian Stories, Legends, and Other Writings (Penguin Classics)",Zitkala-Sa
American Indian Trickster Tales (Myths and Legends),Richard Erdoes
American Literature (EZ-101 Study Keys),Francis E. Skipp
American Primitive,Mary Oliver
American Psycho,Bret Easton Ellis
Americanah,Chimamanda Ngozi Adichie
Americanah,Chimamanda Ngozi Adichie
"Amerika: The Missing Person: A New Translation, Based on the Restored Text (The Schocken Kafka Library)",Franz Kafka
Amistad Mountain & Other Stories,Sigifredo Cavazos
Among the Gods (Chronicles of the Kings #5) (Volume 5),Lynn Austin
